model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,94,9,85,13.0,0.152941176471,0.547008547009,0.25112067603,17,4.0,0.235294117647,1.538461538462,0.307692307692,0.4,0.867647058824,0.020588235294,26,0.276595744681,prior,False,one_standard_error,0.54594017094,0.001068376068,0.208257901174,0.042862774856,0.235294117647,0.0,1.538461538462,0.0,0.307692307692,0.0,0.4,0.0,0.867647058824,0.0,0.020588235294,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,94,9,85,13.0,0.152941176471,0.547008547009,0.25112067603,26,4.0,0.153846153846,1.005917159763,0.307692307692,0.4,0.847457627119,0.000398803589,35,0.372340425532,prior,False,one_standard_error,0.54594017094,0.001068376068,0.208257901174,0.042862774856,0.192307692308,-0.038461538462,1.257396449704,-0.251479289941,0.384615384615,-0.076923076923,0.466666666667,-0.066666666667,0.864406779661,-0.016949152542,0.017347956132,-0.016949152542
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,94,19,75,10.0,0.133333333333,0.478461538462,0.224129100067,4,1.0,0.25,1.875,0.1,0.4,0.87323943662,0.006572769953,23,0.244680851064,uncertainty,True,uncertainty_selected,0.478461538462,0.0,0.224129100067,0.0,0.25,0.0,1.875,0.0,0.1,0.0,0.4,0.0,0.87323943662,0.0,0.006572769953,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,94,19,75,10.0,0.133333333333,0.478461538462,0.224129100067,8,1.0,0.125,0.9375,0.1,0.4,0.865671641791,-0.000995024876,27,0.287234042553,uncertainty,True,uncertainty_selected,0.478461538462,0.0,0.224129100067,0.0,0.125,0.0,0.9375,0.0,0.1,0.0,0.4,0.0,0.865671641791,0.0,-0.000995024876,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,94,19,75,10.0,0.133333333333,0.478461538462,0.224129100067,15,2.0,0.133333333333,1.0,0.2,0.466666666667,0.866666666667,0.0,34,0.36170212766,uncertainty,True,uncertainty_selected,0.478461538462,0.0,0.224129100067,0.0,0.133333333333,0.0,1.0,0.0,0.2,0.0,0.466666666667,0.0,0.866666666667,0.0,0.0,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,94,19,75,10.0,0.133333333333,0.478461538462,0.224129100067,22,2.0,0.090909090909,0.681818181818,0.2,0.466666666667,0.849056603774,-0.017610062893,41,0.436170212766,uncertainty,True,uncertainty_selected,0.478461538462,0.0,0.224129100067,0.0,0.090909090909,0.0,0.681818181818,0.0,0.2,0.0,0.466666666667,0.0,0.849056603774,0.0,-0.017610062893,0.0
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,215,22,193,36.0,0.186528497409,0.792108987969,0.458309011615,10,5.0,0.5,2.680555555556,0.138888888889,0.243902439024,0.830601092896,0.017129590306,32,0.148837209302,uncertainty_support,False,one_standard_error,0.552901627742,0.239207360226,0.212464741535,0.24584427008,0.2,0.3,1.072222222222,1.608333333333,0.055555555556,0.083333333333,0.170731707317,0.073170731707,0.814207650273,0.016393442623,0.000736147683,0.016393442623
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.1,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,215,22,193,36.0,0.186528497409,0.792108987969,0.458309011615,19,11.0,0.578947368421,3.103801169591,0.305555555556,0.390243902439,0.85632183908,0.04285033649,41,0.190697674419,uncertainty_support,False,one_standard_error,0.552901627742,0.239207360226,0.212464741535,0.24584427008,0.210526315789,0.368421052632,1.12865497076,1.97514619883,0.111111111111,0.194444444444,0.219512195122,0.170731707317,0.816091954023,0.040229885057,0.002620451432,0.040229885057
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,215,22,193,36.0,0.186528497409,0.792108987969,0.458309011615,39,18.0,0.461538461538,2.474358974359,0.5,0.560975609756,0.883116883117,0.069645380526,61,0.283720930233,uncertainty_support,False,one_standard_error,0.552901627742,0.239207360226,0.212464741535,0.24584427008,0.179487179487,0.282051282051,0.962250712251,1.512108262108,0.194444444444,0.305555555556,0.292682926829,0.268292682927,0.811688311688,0.071428571429,-0.001783190902,0.071428571429
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.3,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,215,22,193,36.0,0.186528497409,0.792108987969,0.458309011615,58,24.0,0.413793103448,2.218390804598,0.666666666667,0.707317073171,0.911111111111,0.09763960852,80,0.372093023256,uncertainty_support,False,one_standard_error,0.552901627742,0.239207360226,0.212464741535,0.24584427008,0.224137931034,0.189655172414,1.20162835249,1.016762452107,0.361111111111,0.305555555556,0.439024390244,0.268292682927,0.82962962963,0.081481481481,0.016158127039,0.081481481481
