model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,selected_profile,pause_validation_auprc,pause_validation_fold_mean_auprc,hgb_validation_status,hgb_validation_auprc,hgb_validation_fold_mean_auprc,hgb_test_status,hgb_test_auprc,hgb_test_deduplicated_auprc,pause_test_auprc,pause_test_deduplicated_auprc,delta_validation_auprc,delta_validation_fold_mean_auprc,delta_test_auprc,delta_test_deduplicated_auprc
DrugBAN,biosnap,seed_5,target,base,0.9,0.2,uncertainty,0.248288609283,0.27502490702,complete,0.280517111665,0.292110363115,complete,0.638250940579,,0.364330323824,,0.032228502382,0.017085456095,0.273920616755,
DrugBAN,biosnap,seed_6,drug,base,0.8,0.1,uncertainty_support,0.632206825628,0.640266235965,complete,0.59552201377,0.603687866096,complete,0.494142456914,,0.490825306374,,-0.036684811858,-0.036578369869,0.00331715054,
DrugBAN,biosnap,seed_6,drug,base,0.8,0.2,uncertainty_support,0.627042837431,0.644961784421,complete,0.58459703498,0.582301929736,complete,0.519933186421,,0.503479108369,,-0.042445802451,-0.062659854685,0.016454078052,
DrugBAN,biosnap,seed_6,drug,base,0.9,0.1,uncertainty_support,0.681190436301,0.692958382416,complete,0.608246075088,0.618366976124,complete,0.472955600966,,0.502426547965,,-0.072944361213,-0.074591406292,-0.029470946999,
DrugBAN,biosnap,seed_6,drug,base,0.9,0.2,uncertainty_prior_support,0.641671577604,0.639979088959,complete,0.615741194494,0.646898702101,complete,0.459402767638,,0.522639651474,,-0.02593038311,0.006919613142,-0.063236883836,
DrugBAN,biosnap,seed_6,target,base,0.8,0.1,prior,0.425531577291,0.440628027097,complete,0.420716777779,0.457498083877,complete,0.445760224553,,0.323944129574,,-0.004814799512,0.01687005678,0.121816094979,
DrugBAN,biosnap,seed_6,target,base,0.8,0.2,prior,0.392108720233,0.453062683998,complete,0.401474115095,0.415029871704,complete,0.513926311673,,0.349950443347,,0.009365394862,-0.038032812294,0.163975868326,
DrugBAN,biosnap,seed_6,target,base,0.9,0.1,uncertainty,0.391104340233,0.417408925317,complete,0.45330244116,0.509258313025,complete,0.479222961342,,0.314384984655,,0.062198100927,0.091849387708,0.164837976687,
DrugBAN,biosnap,seed_6,target,base,0.9,0.2,prior,0.376563819776,0.393204966317,complete,0.404024582328,0.421230860621,complete,0.591116083006,,0.385459021547,,0.027460762552,0.028025894304,0.205657061459,
DrugBAN,biosnap,seed_7,drug,base,0.8,0.1,uncertainty_support,0.623788086158,0.658236831995,complete,0.620069859094,0.640367913976,complete,0.812712723348,,0.730191385443,,-0.003718227064,-0.017868918019,0.082521337905,
DrugBAN,biosnap,seed_7,drug,base,0.8,0.2,uncertainty_support,0.617777578651,0.637690460928,complete,0.537016148287,0.552116853748,complete,0.870606540995,,0.829979795941,,-0.080761430364,-0.08557360718,0.040626745054,
DrugBAN,biosnap,seed_7,drug,base,0.9,0.1,uncertainty_support,0.63545552236,0.65838577131,complete,0.57374186699,0.570791759577,complete,0.8769401361,,0.860927021521,,-0.06171365537,-0.087594011733,0.016013114579,
DrugBAN,biosnap,seed_7,drug,base,0.9,0.2,uncertainty_support,0.622507412439,0.661178170401,complete,0.544671935404,0.562286155544,complete,0.868124103102,,0.82382064976,,-0.077835477035,-0.098892014857,0.044303453342,
DrugBAN,biosnap,seed_7,target,base,0.8,0.1,prior,0.493906292151,0.525630607078,complete,0.483176359622,0.520182713051,complete,0.84236469493,,0.519569625232,,-0.010729932529,-0.005447894027,0.322795069698,
DrugBAN,biosnap,seed_7,target,base,0.8,0.2,prior,0.526651561114,0.534360331465,complete,0.438381913576,0.435631683922,complete,0.876772400483,,0.601251099654,,-0.088269647538,-0.098728647543,0.275521300829,
DrugBAN,biosnap,seed_7,target,base,0.9,0.1,prior,0.498745873911,0.520014344242,complete,0.388810775708,0.421532496596,complete,0.880073269749,,0.611847540751,,-0.109935098203,-0.098481847646,0.268225728998,
DrugBAN,biosnap,seed_7,target,base,0.9,0.2,prior,0.480569556484,0.521016672986,complete,0.41687210442,0.428811601052,complete,0.90526673159,,0.605272392666,,-0.063697452064,-0.092205071934,0.299994338924,
DrugBAN,biosnap,seed_8,drug,base,0.8,0.1,uncertainty_support,0.558626449953,0.589727940173,complete,0.534573193059,0.554525290711,complete,0.641602708155,,0.594028227734,,-0.024053256894,-0.035202649462,0.047574480421,
DrugBAN,biosnap,seed_8,drug,base,0.8,0.2,uncertainty_support,0.614964082509,0.643743493877,complete,0.581454242986,0.628301945991,complete,0.656631191604,,0.567239416192,,-0.033509839523,-0.015441547886,0.089391775412,
DrugBAN,biosnap,seed_8,drug,base,0.9,0.1,uncertainty_support,0.563235487159,0.570235086867,complete,0.596686320618,0.602122746999,complete,0.675064332439,,0.559264794941,,0.033450833459,0.031887660132,0.115799537498,
DrugBAN,biosnap,seed_8,drug,base,0.9,0.2,uncertainty_support,0.577584082698,0.561541151619,complete,0.598693040008,0.608224919003,complete,0.575070422325,,0.64431534619,,0.02110895731,0.046683767384,-0.069244923865,
DrugBAN,biosnap,seed_8,target,base,0.8,0.1,prior,0.358887164518,0.393814058492,complete,0.421783550603,0.449319690773,complete,0.63503803411,,0.305294779212,,0.062896386085,0.055505632281,0.329743254898,
DrugBAN,biosnap,seed_8,target,base,0.8,0.2,prior,0.382929225925,0.398079457021,complete,0.435783971573,0.481241256452,complete,0.696078005907,,0.347996585056,,0.052854745648,0.083161799431,0.348081420851,
DrugBAN,biosnap,seed_8,target,base,0.9,0.1,uncertainty,0.299468211681,0.338599616316,complete,0.432105345435,0.433905024745,complete,0.620268275687,,0.277098624051,,0.132637133754,0.095305408429,0.343169651636,
