split,group_axis,model,dataset,measure,num_independent_runs,mean,run_win_rate,min,max
validation,drug,TAPB,biosnap,delta_retained_accuracy_gain_vs_residual,5,-0.003231,0.0,-0.004425,-0.001509
validation,drug,TAPB,human,delta_validation_fold_mean_auprc,4,-0.065448,0.0,-0.158088,0.0
validation,drug,TAPB,human,delta_error_detection_auprc,4,-0.0609,0.0,-0.129583,0.0
validation,drug,TAPB,human,delta_review_lift,4,-0.661202,0.0,-1.321429,0.0
validation,drug,TAPB,human,delta_retained_accuracy_gain_vs_residual,4,-0.019492,0.0,-0.033333,0.0
validation,target,DrugBAN,bindingdb,delta_validation_fold_mean_auprc,5,0.002973,0.6,-0.03315,0.037274
validation,target,DrugBAN,bindingdb,delta_error_detection_auprc,5,0.009122,0.8,-0.039328,0.047138
validation,target,DrugBAN,bindingdb,delta_review_lift,5,0.181951,0.8,0.0,0.385828
validation,target,DrugBAN,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.008469,0.8,0.0,0.018677
validation,target,DrugBAN,biosnap,delta_validation_fold_mean_auprc,5,0.015288,0.8,-0.003656,0.034856
validation,target,DrugBAN,biosnap,delta_error_detection_auprc,5,0.010722,0.6,-0.012305,0.036458
validation,target,DrugBAN,biosnap,delta_review_lift,5,0.093006,1.0,0.039239,0.192236
validation,target,DrugBAN,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.00493,1.0,0.001476,0.012626
validation,target,DrugBAN,human,delta_validation_fold_mean_auprc,2,0.077084,0.5,-0.0125,0.166667
validation,target,DrugBAN,human,delta_error_detection_auprc,2,0.042902,0.5,-0.008639,0.094444
validation,target,DrugBAN,human,delta_review_lift,2,0.0,0.0,0.0,0.0
validation,target,DrugBAN,human,delta_retained_accuracy_gain_vs_residual,2,0.0,0.0,0.0,0.0
validation,target,PACE,bindingdb,delta_validation_fold_mean_auprc,5,0.080858,0.8,-0.019087,0.162935
validation,target,PACE,bindingdb,delta_error_detection_auprc,5,0.027417,0.6,-0.06226,0.105188
validation,target,PACE,bindingdb,delta_review_lift,5,0.401864,0.6,-0.077559,0.718934
validation,target,PACE,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.014614,0.6,-0.001961,0.028712
validation,target,PACE,biosnap,delta_validation_fold_mean_auprc,5,-0.004719,0.2,-0.024936,0.02169
validation,target,PACE,biosnap,delta_error_detection_auprc,5,-0.007499,0.2,-0.020022,0.007471
validation,target,PACE,biosnap,delta_review_lift,5,-0.180721,0.0,-0.396557,-0.019792
validation,target,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,5,-0.003654,0.0,-0.008525,-0.000271
validation,target,PACE,human,delta_validation_fold_mean_auprc,4,-0.025671,0.25,-0.082776,0.0125
validation,target,PACE,human,delta_error_detection_auprc,4,-0.02994,0.25,-0.08028,0.004546
validation,target,PACE,human,delta_review_lift,4,-0.06374,0.0,-0.21875,0.0
validation,target,PACE,human,delta_retained_accuracy_gain_vs_residual,4,-0.001987,0.0,-0.007353,0.0
validation,target,TAPB,bindingdb,delta_validation_fold_mean_auprc,3,-0.010576,0.333333,-0.035438,0.016337
validation,target,TAPB,bindingdb,delta_error_detection_auprc,3,-0.009706,0.333333,-0.017011,0.004861
validation,target,TAPB,bindingdb,delta_review_lift,3,-0.090349,0.0,-0.226718,-0.007196
validation,target,TAPB,bindingdb,delta_retained_accuracy_gain_vs_residual,3,-0.005656,0.0,-0.013611,-0.00059
validation,target,TAPB,biosnap,delta_validation_fold_mean_auprc,5,-0.001203,0.4,-0.010253,0.01039
validation,target,TAPB,biosnap,delta_error_detection_auprc,5,0.003745,0.6,-0.006451,0.014371
validation,target,TAPB,biosnap,delta_review_lift,5,0.063103,0.8,-0.078006,0.203888
validation,target,TAPB,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.001151,0.8,-0.001016,0.003796
validation,target,TAPB,human,delta_validation_fold_mean_auprc,5,-0.032955,0.2,-0.183201,0.074603
validation,target,TAPB,human,delta_error_detection_auprc,5,-0.012324,0.4,-0.114388,0.122906
validation,target,TAPB,human,delta_review_lift,5,-0.345079,0.0,-0.785714,0.0
validation,target,TAPB,human,delta_retained_accuracy_gain_vs_residual,5,-0.009824,0.0,-0.019231,0.0
