model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,native_max_shift,baseline,complete,native_domain_shift_score,,,61,12,49,4.0,0.081632653061,0.433333333333,0.310324129652,15,1.0,0.066666666667,0.816666666667,0.25,0.7,0.911764705882,-0.006602641056,27,0.44262295082,42.0,4.0,0.095238095238,0.467105263158,0.325396825397,13.0,1.0,0.076923076923,0.807692307692,0.25,0.7,0.896551724138,-0.008210180624
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,native_density,baseline,complete,native_domain_density_distance,,,61,12,49,4.0,0.081632653061,0.5,0.3290317139,15,2.0,0.133333333333,1.633333333333,0.5,0.8,0.941176470588,0.022809123649,27,0.44262295082,42.0,4.0,0.095238095238,0.513157894737,0.344038337744,13.0,2.0,0.153846153846,1.615384615385,0.5,0.8,0.931034482759,0.026272577997
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,fixed_hgb_upe,baseline,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,61,12,49,4.0,0.081632653061,0.5,0.081632653061,15,1.224489795918,0.081632653061,1.0,0.30612244898,0.722448979592,0.918367346939,0.0,27,0.44262295082,42.0,4.0,0.095238095238,0.5,0.095238095238,13.0,1.238095238095,0.095238095238,1.0,0.309523809524,0.72380952381,0.904761904762,0.0
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,uncertainty,primary,group_cv_unavailable,,,,43,4,39,3.0,0.076923076923,0.472222222222,0.166105499439,2,0.0,0.0,0.0,0.0,0.25,0.918918918919,-0.004158004158,6,0.139534883721,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,prior,primary,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,uncertainty_support,primary,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,43,4,39,3.0,0.076923076923,0.62037037037,0.24,2,1.0,0.5,6.5,0.333333333333,0.5,0.945945945946,0.022869022869,6,0.139534883721,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,43,4,39,3.0,0.076923076923,0.12037037037,0.057034323701,2,0.0,0.0,0.0,0.0,0.25,0.918918918919,-0.004158004158,6,0.139534883721,,,,,,,,,,,,,
