model,dataset,test_run,group_axis,review_fraction,mean_universe_n,mean_universe_error_count,mean_reviewed_n,mean_uncertainty_review_error_rate_at_k,mean_oracle_review_error_rate_at_k,mean_max_possible_review_error_rate_gain_over_uncertainty,mean_uncertainty_error_recall_at_k,mean_oracle_error_recall_at_k,mean_max_possible_error_recall_gain_over_uncertainty,mean_max_possible_review_error_count_gain_over_uncertainty,mean_uncertainty_fraction_of_oracle_error_count
DrugBAN,biosnap,seed_6,drug,0.2,163.5,29.5,32.75,0.25827049835225,0.8943712459516914,0.6361007475994414,0.28961489899,1.0,0.71038510101,21.0,0.289614898989899
DrugBAN,biosnap,seed_6,target,0.05,163.5,29.5,8.0,0.2118055555555,1.0,0.7881944444444999,0.05518353174625,0.275974025974026,0.22079049422777597,6.25,0.21180555555555555
DrugBAN,biosnap,seed_6,target,0.1,163.5,29.5,16.5,0.23684901592225,1.0,0.76315098407775,0.13065927128425,0.5667049963924964,0.43604572510824635,12.5,0.23684901592215835
DrugBAN,biosnap,seed_6,target,0.2,163.5,29.5,32.75,0.25827049835225,0.8943712459516914,0.6361007475994414,0.28961489899,1.0,0.71038510101,21.0,0.289614898989899
DrugBAN,biosnap,seed_7,drug,0.05,135.5,38.75,6.5,0.44464285714275,1.0,0.55535714285725,0.07625040611875,0.169440346671584,0.093189940552834,3.75,0.4446428571428571
DrugBAN,biosnap,seed_7,drug,0.1,135.5,38.75,13.5,0.43617424242425,1.0,0.56382575757575,0.1557739083095,0.35345376395072137,0.19767985564122137,7.75,0.4361742424242424
DrugBAN,biosnap,seed_7,drug,0.2,135.5,38.75,27.0,0.44909221525575,1.0,0.5509077847442501,0.31821694194925,0.7058571077333755,0.38764016578412547,15.0,0.44909221525600834
DrugBAN,biosnap,seed_7,target,0.05,135.5,38.75,6.5,0.44464285714275,1.0,0.55535714285725,0.07625040611875,0.169440346671584,0.093189940552834,3.75,0.4446428571428571
DrugBAN,biosnap,seed_7,target,0.1,135.5,38.75,13.5,0.43617424242425,1.0,0.56382575757575,0.1557739083095,0.35345376395072137,0.19767985564122137,7.75,0.4361742424242424
DrugBAN,biosnap,seed_7,target,0.2,135.5,38.75,27.0,0.44909221525575,1.0,0.5509077847442501,0.31821694194925,0.7058571077333755,0.38764016578412547,15.0,0.44909221525600834
DrugBAN,biosnap,seed_8,drug,0.05,155.5,22.25,8.0,0.34226190476175,1.0,0.65773809523825,0.12437929717375,0.36511650114591293,0.24073720397216292,5.25,0.34226190476190477
DrugBAN,biosnap,seed_8,drug,0.1,155.5,22.25,15.5,0.2876400560225,1.0,0.7123599439775,0.199961802903,0.709940794499618,0.509978991596618,11.0,0.28764005602240894
DrugBAN,biosnap,seed_8,drug,0.2,155.5,22.25,31.25,0.2611751152075,0.7066244239631336,0.44544930875563366,0.36826776164999997,1.0,0.6317322383499999,14.0,0.3682677616501146
DrugBAN,biosnap,seed_8,target,0.05,155.5,22.25,8.0,0.34226190476175,1.0,0.65773809523825,0.12437929717375,0.36511650114591293,0.24073720397216292,5.25,0.34226190476190477
DrugBAN,biosnap,seed_8,target,0.1,155.5,22.25,15.5,0.2876400560225,1.0,0.7123599439775,0.199961802903,0.709940794499618,0.509978991596618,11.0,0.28764005602240894
DrugBAN,biosnap,seed_8,target,0.2,155.5,22.25,31.25,0.2611751152075,0.7066244239631336,0.44544930875563366,0.36826776164999997,1.0,0.6317322383499999,14.0,0.3682677616501146
DrugBAN,human,seed_4,drug,0.05,9.75,0.5,0.0,,,,,0.0,,,
DrugBAN,human,seed_4,drug,0.1,9.75,0.5,0.0,,,,,0.0,,,
DrugBAN,human,seed_4,drug,0.2,9.75,0.5,0.0,,,,,0.0,,,
DrugBAN,human,seed_4,target,0.05,9.75,0.5,0.0,,,,,0.0,,,
DrugBAN,human,seed_4,target,0.1,9.75,0.5,0.0,,,,,0.0,,,
DrugBAN,human,seed_4,target,0.2,9.75,0.5,0.0,,,,,0.0,,,
DrugBAN,human,seed_5,drug,0.05,35.75,5.25,1.5,0.11111111111100001,1.0,0.888888888889,0.03333333333333333,0.2714285714285714,0.32857142857142857,1.6666666666666667,0.1111111111111111
DrugBAN,human,seed_5,drug,0.1,35.75,5.25,3.25,0.2333333333333333,1.0,0.7666666666666666,0.147619047619,0.5785714285714285,0.6238095238095714,3.0,0.2333333333333333
DrugBAN,human,seed_5,drug,0.2,35.75,5.25,6.25,0.3045454545453333,0.703030303030303,0.3984848484849697,0.442857142857,0.75,0.5571428571429999,3.6666666666666665,0.44285714285714284
DrugBAN,human,seed_5,target,0.05,35.75,5.25,1.5,0.11111111111100001,1.0,0.888888888889,0.03333333333333333,0.2714285714285714,0.32857142857142857,1.6666666666666667,0.1111111111111111
