model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,n_test,n_high_conf_positive,deferred_n,n_residual_candidates,n_residual_errors,residual_error_prevalence,candidate_error_count
DrugBAN,human,seed_7,target,base,0.8,0.1,0.2,311,42,4,38,2.0,0.05263157894736842,2.0
DrugBAN,human,seed_7,target,base,0.8,0.2,0.2,311,42,8,34,1.0,0.029411764705882353,2.0
DrugBAN,human,seed_7,target,base,0.9,0.1,0.2,311,21,2,19,0.0,0.0,1.0
DrugBAN,human,seed_7,target,base,0.9,0.2,0.2,311,21,4,17,0.0,0.0,1.0
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.2,311,71,7,64,12.0,0.1875,14.0
DrugBAN,human,seed_8,drug,base,0.8,0.2,0.2,311,71,14,57,7.0,0.12280701754385964,14.0
DrugBAN,human,seed_8,drug,base,0.9,0.1,0.2,311,61,6,55,6.0,0.10909090909090909,10.0
DrugBAN,human,seed_8,drug,base,0.9,0.2,0.2,311,61,12,49,4.0,0.08163265306122448,10.0
DrugBAN,human,seed_8,target,base,0.8,0.1,0.2,311,71,7,64,12.0,0.1875,14.0
DrugBAN,human,seed_8,target,base,0.8,0.2,0.2,311,71,14,57,7.0,0.12280701754385964,14.0
DrugBAN,human,seed_8,target,base,0.9,0.1,0.2,311,61,6,55,6.0,0.10909090909090909,10.0
DrugBAN,human,seed_8,target,base,0.9,0.2,0.2,311,61,12,49,4.0,0.08163265306122448,10.0
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,1779,215,22,193,36.0,0.18652849740932642,41.0
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,1779,215,43,172,31.0,0.18023255813953487,41.0
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,1779,94,9,85,13.0,0.15294117647058825,15.0
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,1779,94,19,75,10.0,0.13333333333333333,15.0
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,1779,215,22,193,36.0,0.18652849740932642,41.0
