model,dataset,test_run,group_axis,n_test,mean_high_conf_positive,min_high_conf_positive,max_high_conf_positive,mean_residual_candidates,min_residual_candidates,max_residual_candidates,mean_residual_errors,min_residual_errors,max_residual_errors,mean_residual_error_prevalence,min_residual_error_prevalence,max_residual_error_prevalence
TAPB,bindingdb,seed_4,target,1779,1.5,0,3,1.25,0,3,0.0,0.0,0.0,0.0,0.0,0.0
TAPB,bindingdb,seed_5,drug,1779,177.0,139,215,150.25,111,193,51.75,36.0,72.0,0.34010114373923267,0.32,0.37305699481865284
TAPB,bindingdb,seed_5,target,1779,177.0,139,215,150.25,111,193,51.75,36.0,72.0,0.34010114373923267,0.32,0.37305699481865284
TAPB,bindingdb,seed_6,drug,1779,0.0,0,0,0.0,0,0,0.0,0.0,0.0,,,
TAPB,bindingdb,seed_6,target,1779,0.0,0,0,0.0,0,0,0.0,0.0,0.0,,,
TAPB,bindingdb,seed_7,drug,1779,148.0,113,183,125.75,90,165,28.0,16.0,42.0,0.21458094238110353,0.17777777777777778,0.2545454545454545
TAPB,bindingdb,seed_7,target,1779,148.0,113,183,125.75,90,165,28.0,16.0,42.0,0.21458094238110353,0.17777777777777778,0.2545454545454545
TAPB,bindingdb,seed_8,drug,1779,262.5,227,298,223.0,182,268,74.0,57.0,94.0,0.3298488166793698,0.3131868131868132,0.35074626865671643
TAPB,bindingdb,seed_8,target,1779,262.5,227,298,223.0,182,268,74.0,57.0,94.0,0.3298488166793698,0.3131868131868132,0.35074626865671643
TAPB,biosnap,seed_4,drug,907,204.5,185,224,174.0,148,202,17.25,11.0,23.0,0.0975348362732798,0.07432432432432433,0.11386138613861387
TAPB,biosnap,seed_4,target,907,204.5,185,224,174.0,148,202,17.25,11.0,23.0,0.0975348362732798,0.07432432432432433,0.11386138613861387
TAPB,biosnap,seed_5,drug,907,114.0,100,128,96.75,80,115,7.25,6.0,8.0,0.07519359192952543,0.06956521739130435,0.0784313725490196
TAPB,biosnap,seed_5,target,907,114.0,100,128,96.75,80,115,7.25,6.0,8.0,0.07519359192952543,0.06956521739130435,0.0784313725490196
TAPB,biosnap,seed_6,drug,907,118.5,103,134,100.75,82,121,4.75,3.0,6.0,0.046666138883998634,0.036585365853658534,0.053763440860215055
TAPB,biosnap,seed_6,target,907,118.5,103,134,100.75,82,121,4.75,3.0,6.0,0.046666138883998634,0.036585365853658534,0.053763440860215055
TAPB,biosnap,seed_7,drug,907,234.0,225,243,199.0,180,219,19.0,13.0,27.0,0.09412657193672684,0.07222222222222222,0.1232876712328767
TAPB,biosnap,seed_7,target,907,234.0,225,243,199.0,180,219,19.0,13.0,27.0,0.09412657193672684,0.07222222222222222,0.1232876712328767
TAPB,biosnap,seed_8,drug,907,154.0,139,169,130.75,111,152,13.25,10.0,19.0,0.09984659659659659,0.088,0.125
TAPB,biosnap,seed_8,target,907,154.0,139,169,130.75,111,152,13.25,10.0,19.0,0.09984659659659659,0.088,0.125
TAPB,human,seed_4,drug,311,56.0,51,61,47.75,41,55,5.25,3.0,7.0,0.10789702268644852,0.07317073170731707,0.12727272727272726
TAPB,human,seed_4,target,311,56.0,51,61,47.75,41,55,5.25,3.0,7.0,0.10789702268644852,0.07317073170731707,0.12727272727272726
TAPB,human,seed_5,drug,311,87.0,81,93,74.0,65,84,11.25,8.0,17.0,0.1493948279907184,0.12307692307692308,0.20238095238095238
TAPB,human,seed_5,target,311,87.0,81,93,74.0,65,84,11.25,8.0,17.0,0.1493948279907184,0.12307692307692308,0.20238095238095238
TAPB,human,seed_6,drug,311,72.5,69,76,61.5,55,68,10.5,9.0,13.0,0.17000939575868806,0.16129032258064516,0.19117647058823528
TAPB,human,seed_6,target,311,72.5,69,76,61.5,55,68,10.5,9.0,13.0,0.17000939575868806,0.16129032258064516,0.19117647058823528
TAPB,human,seed_7,drug,311,107.0,105,109,91.0,84,98,19.75,17.0,22.0,0.21657854611899208,0.20238095238095238,0.22448979591836735
TAPB,human,seed_7,target,311,107.0,105,109,91.0,84,98,19.75,17.0,22.0,0.21657854611899208,0.20238095238095238,0.22448979591836735
TAPB,human,seed_8,drug,311,102.0,101,103,86.75,81,93,20.25,17.0,23.0,0.23236195475901744,0.20987654320987653,0.25274725274725274
TAPB,human,seed_8,target,311,102.0,101,103,86.75,81,93,20.25,17.0,23.0,0.23236195475901744,0.20987654320987653,0.25274725274725274
