model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_profile,selection_reason,review_error_count,review_error_rate,review_recall_of_residual_errors,delta_review_error_rate_vs_uncertainty,delta_review_recall_of_residual_errors_vs_uncertainty,universe_n,universe_error_count,reviewed_n,uncertainty_review_error_rate_at_k,uncertainty_error_recall_at_k,oracle_review_error_rate_at_k,oracle_error_recall_at_k,max_possible_review_error_count_gain_over_uncertainty,max_possible_review_error_rate_gain_over_uncertainty,max_possible_error_recall_gain_over_uncertainty,uncertainty_fraction_of_oracle_error_count,pause_fraction_of_oracle_rate_headroom,pause_fraction_of_oracle_recall_headroom,pause_review_error_rate_gap_to_oracle,pause_error_recall_gap_to_oracle
PACE,biosnap,seed_5,target,base,0.8,0.1,0.1,uncertainty,uncertainty_selected,4.0,0.25,0.285714285714,0.0,0.0,158,14.0,16,0.25,0.285714285714,0.875,1.0,10.0,0.625,0.714285714286,0.2857142857142857,0.0,0.0,0.625,0.714285714286
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,uncertainty,uncertainty_selected,6.0,0.1875,0.428571428571,0.0,0.0,158,14.0,32,0.1875,0.428571428571,0.4375,1.0,8.0,0.25,0.5714285714289999,0.4285714285714285,0.0,0.0,0.25,0.5714285714289999
PACE,biosnap,seed_5,target,base,0.8,0.2,0.05,prior,one_standard_error,3.0,0.428571428571,0.3,0.285714285714,0.2,141,10.0,7,0.142857142857,0.1,1.0,0.7,6.0,0.857142857143,0.6,0.1428571428571428,0.33333333333294446,0.33333333333333337,0.5714285714289999,0.39999999999999997
PACE,biosnap,seed_5,target,base,0.8,0.2,0.1,prior,one_standard_error,5.0,0.357142857143,0.5,0.214285714286,0.3,141,10.0,14,0.142857142857,0.2,0.7142857142857143,1.0,8.0,0.5714285714287143,0.8,0.2,0.37500000000040623,0.37499999999999994,0.3571428571427143,0.5
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,prior,one_standard_error,7.0,0.25,0.7,0.178571428571,0.5,141,10.0,28,0.071428571429,0.2,0.3571428571428571,1.0,8.0,0.2857142857138571,0.8,0.2,0.6249999999994376,0.625,0.1071428571428571,0.30000000000000004
PACE,biosnap,seed_5,target,base,0.9,0.1,0.05,prior,one_standard_error,3.0,0.428571428571,0.333333333333,0.285714285714,0.222222222222,132,9.0,7,0.142857142857,0.111111111111,1.0,0.7777777777777778,6.0,0.857142857143,0.6666666666667778,0.1428571428571428,0.33333333333294446,0.33333333333294446,0.5714285714289999,0.44444444444477776
PACE,biosnap,seed_5,target,base,0.9,0.1,0.1,prior,one_standard_error,4.0,0.307692307692,0.444444444444,0.230769230769,0.333333333333,132,9.0,13,0.076923076923,0.111111111111,0.6923076923076923,1.0,8.0,0.6153846153846922,0.888888888889,0.1111111111111111,0.37499999999957817,0.37499999999957817,0.3846153846156923,0.555555555556
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,prior,one_standard_error,6.0,0.230769230769,0.666666666667,0.192307692308,0.555555555556,132,9.0,26,0.038461538462,0.111111111111,0.3461538461538461,1.0,8.0,0.3076923076918461,0.888888888889,0.1111111111111111,0.6250000000019377,0.6250000000004219,0.1153846153848461,0.33333333333299997
PACE,biosnap,seed_5,target,base,0.9,0.2,0.05,prior,one_standard_error,3.0,0.5,0.375,0.5,0.375,118,8.0,6,0.0,0.0,1.0,0.75,6.0,1.0,0.75,0.0,0.5,0.5,0.5,0.375
PACE,biosnap,seed_5,target,base,0.9,0.2,0.1,prior,one_standard_error,4.0,0.333333333333,0.5,0.333333333333,0.5,118,8.0,12,0.0,0.0,0.6666666666666666,1.0,8.0,0.6666666666666666,1.0,0.0,0.49999999999950007,0.5,0.3333333333336666,0.5
