split,model,dataset,test_run,group_axis,confidence_source,profile_label,auprc,delta_auprc_vs_U
test,DrugBAN,human,seed_6,drug,base,U+P,,
test,DrugBAN,human,seed_7,drug,base,U+P,0.11875,-0.024232500000000018
test,DrugBAN,human,seed_8,drug,base,U+P,0.186438,-0.10258699999999998
test,PACE,bindingdb,seed_4,drug,base,U+P,0.28231875,0.07166025000000001
test,PACE,bindingdb,seed_5,drug,base,U+P,0.18196125,-0.020718750000000008
test,PACE,bindingdb,seed_6,drug,base,U+P,0.329789,0.034468
test,PACE,bindingdb,seed_7,drug,base,U+P,0.6412964999999999,0.07170599999999994
test,PACE,bindingdb,seed_8,drug,base,U+P,0.2057345,-0.03509700000000002
test,PACE,biosnap,seed_4,drug,base,U+P,0.33700025,0.07975850000000001
test,PACE,biosnap,seed_5,drug,base,U+P,0.31189775,0.16027299999999997
test,PACE,biosnap,seed_6,drug,base,U+P,0.24871925,0.05389100000000002
test,PACE,biosnap,seed_7,drug,base,U+P,0.20257925,-0.037793750000000015
test,PACE,biosnap,seed_8,drug,base,U+P,0.33018575,0.10895450000000001
test,PACE,human,seed_4,drug,base,U+P,0.57096775,0.014661750000000029
test,PACE,human,seed_5,drug,base,U+P,0.36062525,-0.04502174999999997
test,PACE,human,seed_6,drug,base,U+P,0.50056,0.0009805000000000508
test,PACE,human,seed_7,drug,base,U+P,0.5455026666666667,0.061721666666666675
test,PACE,human,seed_8,drug,base,U+P,0.2016305,-0.10196850000000002
test,TAPB,bindingdb,seed_4,drug,base,U+P,,
test,TAPB,bindingdb,seed_5,drug,base,U+P,0.34670775,-0.07429075000000002
test,TAPB,bindingdb,seed_6,drug,base,U+P,,
test,TAPB,bindingdb,seed_7,drug,base,U+P,0.440943,0.11141849999999998
test,TAPB,bindingdb,seed_8,drug,base,U+P,0.4751485,0.10605299999999995
test,TAPB,biosnap,seed_4,drug,base,U+P,0.22731675,0.05757875000000001
test,TAPB,biosnap,seed_5,drug,base,U+P,0.11576725,-0.021466749999999993
test,TAPB,biosnap,seed_6,drug,base,U+P,0.08227799999999999,-0.04078175000000002
test,TAPB,biosnap,seed_7,drug,base,U+P,0.29895150000000004,0.056311250000000035
test,TAPB,biosnap,seed_8,drug,base,U+P,0.325044,0.10588600000000001
test,TAPB,human,seed_4,drug,base,U+P,0.33087625,-0.1424995
test,TAPB,human,seed_5,drug,base,U+P,0.12667625,-0.24308375
test,TAPB,human,seed_6,drug,base,U+P,0.647807,0.430084
test,TAPB,human,seed_7,drug,base,U+P,0.62964825,0.27230975
test,TAPB,human,seed_8,drug,base,U+P,0.48269775,0.07903725
test,DrugBAN,bindingdb,seed_4,drug,base,U+E,0.58061925,0.08314050000000006
test,DrugBAN,bindingdb,seed_5,drug,base,U+E,0.42100925,0.16771475000000002
test,DrugBAN,bindingdb,seed_6,drug,base,U+E,0.49192175,0.34798275
test,DrugBAN,bindingdb,seed_7,drug,base,U+E,0.7298702499999999,0.39764174999999996
test,DrugBAN,bindingdb,seed_8,drug,base,U+E,1.0,0.6291665
test,DrugBAN,biosnap,seed_4,drug,base,U+E,0.5744165,0.282186
test,DrugBAN,biosnap,seed_5,drug,base,U+E,0.69188775,0.34492075000000005
test,DrugBAN,biosnap,seed_6,drug,base,U+E,0.498841,0.2135455
test,DrugBAN,biosnap,seed_7,drug,base,U+E,0.8112297500000001,0.35740400000000005
test,DrugBAN,biosnap,seed_8,drug,base,U+E,0.59121175,0.298503
test,DrugBAN,human,seed_4,drug,base,U+E,,
test,DrugBAN,human,seed_5,drug,base,U+E,0.466361,0.07901550000000002
test,DrugBAN,human,seed_6,drug,base,U+E,,
test,DrugBAN,human,seed_7,drug,base,U+E,0.078112,-0.06487050000000001
test,DrugBAN,human,seed_8,drug,base,U+E,0.489842,0.20081700000000002
test,PACE,bindingdb,seed_4,drug,base,U+E,0.41676575,0.20610725
test,PACE,bindingdb,seed_5,drug,base,U+E,0.71962625,0.51694625
test,PACE,bindingdb,seed_6,drug,base,U+E,0.419452,0.12413099999999999
test,PACE,bindingdb,seed_7,drug,base,U+E,0.46260999999999997,-0.10698050000000003
test,PACE,bindingdb,seed_8,drug,base,U+E,0.55268025,0.31184875
test,PACE,biosnap,seed_4,drug,base,U+E,0.54269875,0.285457
test,PACE,biosnap,seed_5,drug,base,U+E,0.43083875,0.27921399999999996
test,PACE,biosnap,seed_6,drug,base,U+E,0.36196025,0.167132
test,PACE,biosnap,seed_7,drug,base,U+E,0.22940425,-0.01096875
test,PACE,biosnap,seed_8,drug,base,U+E,0.45309125,0.23186
test,PACE,human,seed_4,drug,base,U+E,0.363351,-0.192955
test,PACE,human,seed_5,drug,base,U+E,0.29083775,-0.11480924999999997
test,PACE,human,seed_6,drug,base,U+E,0.484579,-0.015000499999999972
test,PACE,human,seed_7,drug,base,U+E,0.5443366666666667,0.060555666666666674
test,PACE,human,seed_8,drug,base,U+E,0.34221250000000003,0.03861350000000002
test,TAPB,bindingdb,seed_4,drug,base,U+E,,
test,TAPB,bindingdb,seed_5,drug,base,U+E,0.5465297499999999,0.12553124999999993
test,TAPB,bindingdb,seed_6,drug,base,U+E,,
test,TAPB,bindingdb,seed_7,drug,base,U+E,0.5747595,0.24523499999999998
test,TAPB,bindingdb,seed_8,drug,base,U+E,0.5201945,0.15109899999999998
test,TAPB,biosnap,seed_4,drug,base,U+E,0.39293,0.223192
test,TAPB,biosnap,seed_5,drug,base,U+E,0.34147425,0.20424024999999998
test,TAPB,biosnap,seed_6,drug,base,U+E,0.28815225,0.16509249999999998
test,TAPB,biosnap,seed_7,drug,base,U+E,0.37151425,0.128874
test,TAPB,biosnap,seed_8,drug,base,U+E,0.516694,0.297536
test,TAPB,human,seed_4,drug,base,U+E,0.4456255,-0.027750249999999976
test,TAPB,human,seed_5,drug,base,U+E,0.42214625,0.05238625000000002
test,TAPB,human,seed_6,drug,base,U+E,0.62473775,0.40701475
test,TAPB,human,seed_7,drug,base,U+E,0.41007325,0.05273475
test,TAPB,human,seed_8,drug,base,U+E,0.5531745,0.14951400000000004
test,DrugBAN,bindingdb,seed_4,drug,base,U+P+E,0.61844975,0.12097100000000005
test,DrugBAN,bindingdb,seed_5,drug,base,U+P+E,0.4648905,0.211596
test,DrugBAN,bindingdb,seed_6,drug,base,U+P+E,0.486162,0.342223
test,DrugBAN,bindingdb,seed_7,drug,base,U+P+E,0.69965325,0.36742475
test,DrugBAN,bindingdb,seed_8,drug,base,U+P+E,0.9166665,0.545833
test,DrugBAN,biosnap,seed_4,drug,base,U+P+E,0.535088,0.2428575
test,DrugBAN,biosnap,seed_5,drug,base,U+P+E,0.65856425,0.31159725
test,DrugBAN,biosnap,seed_6,drug,base,U+P+E,0.5120075,0.22671199999999997
test,DrugBAN,biosnap,seed_7,drug,base,U+P+E,0.80418625,0.35036049999999996
test,DrugBAN,biosnap,seed_8,drug,base,U+P+E,0.5637544999999999,0.2710457499999999
test,DrugBAN,human,seed_4,drug,base,U+P+E,,
test,DrugBAN,human,seed_5,drug,base,U+P+E,0.39294,0.005594500000000002
test,DrugBAN,human,seed_6,drug,base,U+P+E,,
test,DrugBAN,human,seed_7,drug,base,U+P+E,0.0756035,-0.06737900000000001
test,DrugBAN,human,seed_8,drug,base,U+P+E,0.35246225000000003,0.06343725000000006
test,PACE,bindingdb,seed_4,drug,base,U+P+E,0.423728,0.2130695
test,PACE,bindingdb,seed_5,drug,base,U+P+E,0.73923125,0.53655125
test,PACE,bindingdb,seed_6,drug,base,U+P+E,0.3682525,0.07293149999999998
test,PACE,bindingdb,seed_7,drug,base,U+P+E,0.4866875,-0.082903
test,PACE,bindingdb,seed_8,drug,base,U+P+E,0.61527175,0.37444025000000003
test,PACE,biosnap,seed_4,drug,base,U+P+E,0.5667815,0.30953975000000006
test,PACE,biosnap,seed_5,drug,base,U+P+E,0.364537,0.21291225
test,PACE,biosnap,seed_6,drug,base,U+P+E,0.34437850000000003,0.14955025000000005
test,PACE,biosnap,seed_7,drug,base,U+P+E,0.21012075000000002,-0.03025224999999998
test,PACE,biosnap,seed_8,drug,base,U+P+E,0.41316274999999997,0.19193149999999998
test,PACE,human,seed_4,drug,base,U+P+E,0.61300775,0.056701749999999995
test,PACE,human,seed_5,drug,base,U+P+E,0.310977,-0.09466999999999998
test,PACE,human,seed_6,drug,base,U+P+E,0.546259,0.046679500000000096
test,PACE,human,seed_7,drug,base,U+P+E,0.47205199999999997,-0.011729000000000045
test,PACE,human,seed_8,drug,base,U+P+E,0.19188650000000002,-0.11171249999999999
test,TAPB,bindingdb,seed_4,drug,base,U+P+E,,
test,TAPB,bindingdb,seed_5,drug,base,U+P+E,0.541663,0.12066450000000001
test,TAPB,bindingdb,seed_6,drug,base,U+P+E,,
