model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_v2_profile,selection_metric,validation_metric,validation_gain_vs_U,fallback_reason,u_validation_error_detection_auprc,u2_validation_error_detection_auprc,ue2_validation_error_detection_auprc,u2e2_validation_error_detection_auprc,min_validation_gain,selection_reason
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.258389,0.026916,,0.231473,0.255261,0.181424,0.258389,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.119185,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.119185,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.116895,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.116895,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.255345,0.032187,,0.223159,0.25104,0.236207,0.255345,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.249959,0.063467,,0.186492,0.229903,0.222586,0.249959,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.195238,0.020292,,0.174946,0.191363,0.161771,0.195238,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.176047,0.061193,,0.114854,0.173148,0.17098,0.176047,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,U2,validation_error_detection_auprc,0.263002,0.085986,,0.177016,0.263002,0.144319,0.207845,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,U2,validation_error_detection_auprc,0.308758,0.110274,,0.198484,0.308758,0.209129,0.275779,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,U2,validation_error_detection_auprc,0.484991,0.365729,,0.119261,0.484991,0.414064,0.43121,0.005,validation_gain_vs_U_meets_threshold
