scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
grouping,U+E2 - U,U+E2 - U,ok,error_detection_auroc,147,147,180,33,0.768707,0.722745,0.67755,0.054079,0.054079,-0.259469,0.280692,drug,,
grouping,U+E2 - U,U+E2 - U,ok,review_lift,149,149,180,31,0.583893,2.136599,1.803771,0.361774,0.361774,-1.342489,2.45,drug,,
grouping,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,149,149,180,31,0.583893,0.427358,0.361074,0.072535,0.072535,-0.260714,0.5,drug,,
grouping,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,149,149,180,31,0.583893,0.039578,0.029573,0.010913,0.010913,-0.045398,0.077941,drug,,
grouping,U+E2 - U,U+E2 - U,ok,error_detection_auprc,150,150,180,30,0.693333,0.352894,0.312242,0.043386,0.043386,-0.328851,0.30001,target,,
grouping,U+E2 - U,U+E2 - U,ok,error_detection_auroc,150,150,180,30,0.74,0.69376,0.67755,0.021269,0.021269,-0.379879,0.276363,target,,
grouping,U+E2 - U,U+E2 - U,ok,review_lift,152,152,180,28,0.539474,2.01401,1.803771,0.214509,0.214509,-2.420641,2.444643,target,,
grouping,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,152,152,180,28,0.539474,0.402941,0.361074,0.042935,0.042935,-0.482692,0.5,target,,
grouping,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,152,152,180,28,0.539474,0.03421,0.029573,0.004824,0.004824,-0.087265,0.067872,target,,
dataset,U+E2 - U,U+E2 - U,ok,error_detection_auprc,92,92,120,28,0.76087,0.431947,0.314661,0.117286,0.117286,-0.146896,0.777778,,bindingdb,
dataset,U+E2 - U,U+E2 - U,ok,error_detection_auroc,92,92,120,28,0.76087,0.675749,0.623592,0.052157,0.052157,-0.252587,0.28125,,bindingdb,
dataset,U+E2 - U,U+E2 - U,ok,review_lift,96,96,120,24,0.677083,1.850975,1.282056,0.568919,0.568919,-0.858036,2.5,,bindingdb,
dataset,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,96,96,120,24,0.677083,0.372281,0.257793,0.114487,0.114487,-0.174107,0.5,,bindingdb,
dataset,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,96,96,120,24,0.677083,0.038535,0.018759,0.019777,0.019777,-0.043208,0.083771,,bindingdb,
dataset,U+E2 - U,U+E2 - U,ok,error_detection_auprc,120,120,120,0,0.833333,0.300931,0.241877,0.059054,0.059054,-0.074693,0.220366,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,error_detection_auroc,120,120,120,0,0.966667,0.762258,0.663639,0.098619,0.098619,-0.004372,0.214416,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,review_lift,120,120,120,0,0.683333,2.40748,1.825407,0.582073,0.582073,-0.632576,2.500446,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,120,120,120,0,0.683333,0.480744,0.364618,0.116127,0.116127,-0.125,0.5,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,120,120,120,0,0.683333,0.03791,0.023986,0.013924,0.013924,-0.01681,0.047273,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,error_detection_auprc,85,85,120,35,0.505882,0.37589,0.388366,-0.017075,-0.017075,-0.369354,0.304067,,human,
dataset,U+E2 - U,U+E2 - U,ok,error_detection_auroc,85,85,120,35,0.447059,0.666679,0.738972,-0.06462,-0.06462,-0.417753,0.307115,,human,
dataset,U+E2 - U,U+E2 - U,ok,review_lift,85,85,120,35,0.258824,1.857547,2.227775,-0.446533,-0.446533,-2.893228,1.655,,human,
dataset,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,85,85,120,35,0.258824,0.37053,0.445803,-0.089319,-0.089319,-0.580556,0.33,,human,
dataset,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,85,85,120,35,0.258824,0.03351,0.044829,-0.014238,-0.014238,-0.097615,0.061224,,human,
model,U+E2 - U,U+E2 - U,ok,error_detection_auprc,84,84,120,36,0.892857,0.421093,0.32735,0.099911,0.099911,-0.080521,0.259567,,,DrugBAN
model,U+E2 - U,U+E2 - U,ok,error_detection_auroc,84,84,120,36,0.904762,0.740838,0.686174,0.070682,0.070682,-0.083333,0.158181,,,DrugBAN
model,U+E2 - U,U+E2 - U,ok,review_lift,84,84,120,36,0.72619,2.084426,1.675993,0.460397,0.460397,-0.833333,1.986088,,,DrugBAN
model,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,84,84,120,36,0.72619,0.41735,0.336017,0.092358,0.092358,-0.166667,0.4,,,DrugBAN
model,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,84,84,120,36,0.72619,0.048714,0.029797,0.01953,0.01953,-0.033845,0.082756,,,DrugBAN
model,U+E2 - U,U+E2 - U,ok,error_detection_auprc,109,109,120,11,0.550459,0.324286,0.314345,0.014833,0.014833,-0.329377,0.777778,,,PACE
model,U+E2 - U,U+E2 - U,ok,error_detection_auroc,109,109,120,11,0.541284,0.695615,0.718075,-0.018557,-0.018557,-0.345263,0.28125,,,PACE
model,U+E2 - U,U+E2 - U,ok,review_lift,113,113,120,7,0.442478,2.089613,2.000704,0.116103,0.116103,-2.41151,2.820513,,,PACE
model,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,113,113,120,7,0.442478,0.418774,0.400573,0.023957,0.023957,-0.480342,0.555556,,,PACE
model,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,113,113,120,7,0.442478,0.027058,0.03335,-0.005446,-0.005446,-0.087147,0.044657,,,PACE
model,U+E2 - U,U+E2 - U,ok,error_detection_auprc,104,104,120,16,0.75,0.356562,0.29487,0.061692,0.061692,-0.18174,0.300727,,,TAPB
model,U+E2 - U,U+E2 - U,ok,error_detection_auroc,104,104,120,16,0.855769,0.69476,0.625285,0.069475,0.069475,-0.309912,0.304375,,,TAPB
model,U+E2 - U,U+E2 - U,ok,review_lift,104,104,120,16,0.557692,2.050622,1.716808,0.333815,0.333815,-1.565542,1.779167,,,TAPB
model,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,104,104,120,16,0.557692,0.409081,0.343038,0.066044,0.066044,-0.314167,0.351042,,,TAPB
model,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,104,104,120,16,0.557692,0.037956,0.025128,0.012828,0.012828,-0.04181,0.089935,,,TAPB
overall,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,297,297,360,63,0.771044,0.353014,0.283337,0.069677,0.069677,-0.157106,0.284229,,,
overall,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,297,297,360,63,0.824916,0.716527,0.640425,0.076102,0.076102,-0.175778,0.308621,,,
overall,U2+E2 - U2,U2+E2 - U2,ok,review_lift,301,301,360,59,0.654485,2.075459,1.601016,0.474443,0.474443,-1.25,2.464286,,,
overall,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,301,301,360,59,0.654485,0.415094,0.320246,0.094848,0.094848,-0.25,0.5,,,
overall,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,301,301,360,59,0.654485,0.037679,0.022249,0.01543,0.01543,-0.03576,0.079249,,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,147,147,180,33,0.768707,0.347346,0.280386,0.06696,0.06696,-0.153835,0.271255,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,147,147,180,33,0.829932,0.71359,0.637384,0.076206,0.076206,-0.233077,0.295763,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,review_lift,149,149,180,31,0.637584,2.030695,1.596207,0.434488,0.434488,-1.273182,2.505357,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,149,149,180,31,0.637584,0.406037,0.31925,0.086787,0.086787,-0.256818,0.5,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,149,149,180,31,0.637584,0.036471,0.022398,0.014073,0.014073,-0.04367,0.077941,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,150,150,180,30,0.773333,0.358569,0.28623,0.07234,0.07234,-0.160579,0.287837,target,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,150,150,180,30,0.82,0.719406,0.643406,0.076,0.076,-0.150489,0.306739,target,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,review_lift,152,152,180,28,0.671053,2.119341,1.605731,0.51361,0.51361,-0.99619,2.428571,target,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,152,152,180,28,0.671053,0.423972,0.321222,0.10275,0.10275,-0.205,0.5,target,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,152,152,180,28,0.671053,0.038864,0.022104,0.01676,0.01676,-0.030743,0.078995,target,,
dataset,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,92,92,120,28,0.902174,0.428429,0.299481,0.128947,0.128947,-0.084763,0.802951,,bindingdb,
dataset,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,92,92,120,28,0.869565,0.682079,0.6115,0.070579,0.070579,-0.130317,0.276953,,bindingdb,
dataset,U2+E2 - U2,U2+E2 - U2,ok,review_lift,96,96,120,24,0.6875,1.809154,1.198294,0.610861,0.610861,-0.522321,2.5,,bindingdb,
