model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,comparison,metric,delta,selected_v2_profile
PACE,human,seed_6,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_6,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_6,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_6,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.062956,
PACE,human,seed_6,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,human,seed_6,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,human,seed_6,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,human,seed_7,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_7,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_7,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_7,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_7,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_7,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_7,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.107505,
PACE,human,seed_7,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_8,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.035839,
PACE,human,seed_8,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.055556,
PACE,human,seed_8,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.00606,
PACE,human,seed_8,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0625,
PACE,human,seed_8,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.106281,
PACE,human,seed_8,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.018518,
PACE,human,seed_8,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.013994,
PACE,human,seed_8,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0625,
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.008171,
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.055441,
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.02385,
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.010665,
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.059271,
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.019127,
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.024654,
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.000868,
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.029322,
