model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,42,4,38,3.0,0.078947368421,0.27619047619,0.070841959972,2,0.0,0.0,0.0,0.0,0.25,0.916666666667,-0.004385964912,6,0.142857142857,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,93,9,84,17.0,0.202380952381,0.806848112379,0.586757313376,4,3.0,0.75,3.705882352941,0.176470588235,0.391304347826,0.825,0.027380952381,13,0.139784946237,72.0,17.0,0.236111111111,0.804278074866,0.611365087881,4.0,3.0,0.75,3.176470588235,0.176470588235,0.391304347826,0.794117647059,0.03022875817
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,93,9,84,17.0,0.202380952381,0.19139596137,0.133621511609,4,0.0,0.0,0.0,0.0,0.260869565217,0.7875,-0.010119047619,13,0.139784946237,72.0,17.0,0.236111111111,0.194652406417,0.157069892484,4.0,0.0,0.0,0.0,0.0,0.260869565217,0.75,-0.013888888889
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,93,9,84,17.0,0.202380952381,0.192273924495,0.133788756551,4,0.0,0.0,0.0,0.0,0.260869565217,0.7875,-0.010119047619,13,0.139784946237,72.0,17.0,0.236111111111,0.195721925134,0.157295341194,4.0,0.0,0.0,0.0,0.0,0.260869565217,0.75,-0.013888888889
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,93,9,84,17.0,0.202380952381,0.732221246708,0.477088687851,4,2.0,0.5,2.470588235294,0.117647058824,0.347826086957,0.8125,0.014880952381,13,0.139784946237,72.0,17.0,0.236111111111,0.700534759358,0.484371139434,4.0,2.0,0.5,2.117647058824,0.117647058824,0.347826086957,0.779411764706,0.015522875817
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,93,9,84,17.0,0.202380952381,0.613696224759,0.331124606323,4,1.0,0.25,1.235294117647,0.058823529412,0.304347826087,0.8,0.002380952381,13,0.139784946237,72.0,17.0,0.236111111111,0.572192513369,0.343455483476,4.0,1.0,0.25,1.058823529412,0.058823529412,0.304347826087,0.764705882353,0.000816993464
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,93,9,84,17.0,0.202380952381,0.806848112379,0.586757313376,4,3.0,0.75,3.705882352941,0.176470588235,0.391304347826,0.825,0.027380952381,13,0.139784946237,72.0,17.0,0.236111111111,0.804278074866,0.611365087881,4.0,3.0,0.75,3.176470588235,0.176470588235,0.391304347826,0.794117647059,0.03022875817
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,93,9,84,17.0,0.202380952381,0.309920983319,0.259282319703,4,2.0,0.5,2.470588235294,0.117647058824,0.347826086957,0.8125,0.014880952381,13,0.139784946237,72.0,17.0,0.236111111111,0.342245989305,0.291177971209,4.0,2.0,0.5,2.117647058824,0.117647058824,0.347826086957,0.779411764706,0.015522875817
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,93,9,84,17.0,0.202380952381,0.31167690957,0.256888041527,4,2.0,0.5,2.470588235294,0.117647058824,0.347826086957,0.8125,0.014880952381,13,0.139784946237,72.0,17.0,0.236111111111,0.343315508021,0.287835666767,4.0,2.0,0.5,2.117647058824,0.117647058824,0.347826086957,0.779411764706,0.015522875817
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,test,fixed_hgb_upe,baseline,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,93,9,84,17.0,0.202380952381,0.5,0.202380952381,4,0.809523809524,0.202380952381,1.0,0.047619047619,0.296066252588,0.797619047619,0.0,13,0.139784946237,72.0,17.0,0.236111111111,0.5,0.236111111111,4.0,0.944444444444,0.236111111111,1.0,0.055555555556,0.30193236715,0.763888888889,0.0
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,uncertainty,primary,group_cv_unavailable,,,,42,4,38,3.0,0.078947368421,0.638095238095,0.18305171531,4,0.0,0.0,0.0,0.0,0.25,0.911764705882,-0.009287925697,8,0.190476190476,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,prior,primary,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,uncertainty_prior,primary,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,uncertainty_support,primary,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,uncertainty_prior_support,primary,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,42,4,38,3.0,0.078947368421,0.67619047619,0.194444444444,4,1.0,0.25,3.166666666667,0.333333333333,0.5,0.941176470588,0.020123839009,8,0.190476190476,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,42,4,38,3.0,0.078947368421,0.142857142857,0.06016684483,4,0.0,0.0,0.0,0.0,0.25,0.911764705882,-0.009287925697,8,0.190476190476,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,native_density,baseline,complete,native_domain_density_distance,,,42,4,38,3.0,0.078947368421,0.27619047619,0.070841959972,4,0.0,0.0,0.0,0.0,0.25,0.911764705882,-0.009287925697,8,0.190476190476,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.1,validation,fixed_hgb_upe,baseline,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
