model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,test,native_max_shift,baseline,complete,native_domain_shift_score,,,278,28,250,38.0,0.152,0.580064548163,0.184430424504,25,5.0,0.2,1.315789473684,0.131578947368,0.266666666667,0.853333333333,0.005333333333,53,0.190647482014
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,test,native_density,baseline,complete,native_domain_density_distance,,,278,28,250,38.0,0.152,0.567961767627,0.201468843706,25,4.0,0.16,1.052631578947,0.105263157895,0.244444444444,0.848888888889,0.000888888889,53,0.190647482014
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,test,fixed_hgb_upe,baseline,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,278,28,250,38.0,0.152,0.897467725919,0.653699909403,25,18.0,0.72,4.736842105263,0.473684210526,0.555555555556,0.911111111111,0.063111111111,53,0.190647482014
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,uncertainty,primary,complete,calibrated_error_risk,0.276274274362,0.039917920716,1039,104,935,154.0,0.164705882353,0.655819212797,0.247048256817,187,48.0,0.256684491979,1.558441558442,0.311688311688,0.442105263158,0.858288770053,0.022994652406,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.382839501146,0.035421305414,1039,104,935,154.0,0.164705882353,0.763947320285,0.371027959628,187,75.0,0.401069518717,2.435064935065,0.487012987013,0.584210526316,0.894385026738,0.059090909091,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.38125794806,0.035626486365,1039,104,935,154.0,0.164705882353,0.763007798859,0.369550123329,187,75.0,0.401069518717,2.435064935065,0.487012987013,0.584210526316,0.894385026738,0.059090909091,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.286356576838,0.043339564759,1039,104,935,154.0,0.164705882353,0.68067080167,0.245623889465,187,47.0,0.251336898396,1.525974025974,0.305194805195,0.436842105263,0.856951871658,0.021657754011,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.295635366064,0.051077216897,1039,104,935,154.0,0.164705882353,0.671924106623,0.254065283438,187,55.0,0.294117647059,1.785714285714,0.357142857143,0.478947368421,0.867647058824,0.032352941176,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,1039,104,935,154.0,0.164705882353,0.670419209472,0.260689780502,187,49.0,0.262032085561,1.590909090909,0.318181818182,0.447368421053,0.859625668449,0.024331550802,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,1039,104,935,154.0,0.164705882353,0.574533980744,0.191180671869,187,37.333333333333,0.199643493761,1.212121212121,0.242424242424,0.385964912281,0.844028520499,0.008734402852,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_density,baseline,complete,native_domain_density_distance,,,1039,104,935,154.0,0.164705882353,0.546327552089,0.181491960286,187,37.0,0.197860962567,1.201298701299,0.24025974026,0.384210526316,0.843582887701,0.008288770053,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.242080144806,0.039747297945,1039,104,935,154.0,0.164705882353,0.63771471806,0.217635537656,187,43.0,0.229946524064,1.396103896104,0.279220779221,0.415789473684,0.851604278075,0.016310160428,291,0.280076997113
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,278,28,250,38.0,0.152,0.708912611718,0.340585487706,50,14.0,0.28,1.842105263158,0.368421052632,0.466666666667,0.88,0.032,78,0.280575539568
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,28,250,38.0,0.152,0.768867924528,0.382708556697,50,17.0,0.34,2.236842105263,0.447368421053,0.533333333333,0.895,0.047,78,0.280575539568
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,28,250,38.0,0.152,0.768619662363,0.388083328372,50,17.0,0.34,2.236842105263,0.447368421053,0.533333333333,0.895,0.047,78,0.280575539568
