model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,uncertainty_error_detection_auprc,uncertainty_review_error_rate,uncertainty_combined_recall_of_candidate_errors,uncertainty_retained_accuracy_gain_vs_residual,uncertainty_deduplicated_error_detection_auprc,uncertainty_deduplicated_review_error_rate,uncertainty_deduplicated_combined_recall_of_candidate_errors,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,transfer_type,held_out_domain,transferred_profile,delta_error_detection_auprc_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,193,72.0,0.373057,0.62741,0.515355,39,21.0,0.538462,1.443376,0.291667,0.3625,0.668831,0.041888,,,,,,,,,,,,,,0.524117,0.564103,0.375,0.048382,,,,,leave_one_dataset_out,bindingdb,prior,-0.008762,,-0.025641,,-0.0125,,-0.006494,
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,172,59.0,0.343023,0.574771,0.403603,34,14.0,0.411765,1.200399,0.237288,0.4375,0.673913,0.016936,,,,,,,,,,,,,,0.434301,0.382353,0.425,0.00969,,,,,leave_one_dataset_out,bindingdb,prior,-0.030698,,0.029412,,0.0125,,0.007246,
TAPB,bindingdb,seed_5,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,125,40.0,0.32,0.538824,0.358414,25,8.0,0.32,1.0,0.2,0.304348,0.68,0.0,,,,,,,,,,,,,,0.333479,0.32,0.304348,0.0,,,,,leave_one_dataset_out,bindingdb,prior,0.024935,,0.0,,0.0,,0.0,
TAPB,bindingdb,seed_5,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,111,36.0,0.324324,0.617407,0.513603,22,12.0,0.545455,1.681818,0.333333,0.478261,0.730337,0.054661,,,,,,,,,,,,,,0.392097,0.363636,0.391304,0.009718,,,,,leave_one_dataset_out,bindingdb,prior,0.121506,,0.181819,,0.086957,,0.044943,
TAPB,bindingdb,seed_6,target,base,0.8,0.1,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
TAPB,bindingdb,seed_6,target,base,0.8,0.2,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
