transfer_type,held_out_domain,group_axis,transferred_profile,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
leave_one_model_out,PACE,target,prior,delta_deduplicated_error_detection_auprc_vs_uncertainty,-0.04042135,-0.08186985,-0.0108785,5,0.2
leave_one_model_out,PACE,target,prior,delta_deduplicated_review_error_rate_vs_uncertainty,-0.0259066,-0.06002745,-0.00333335,5,0.0
leave_one_model_out,PACE,target,prior,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,-0.02151785,-0.05205355,-0.0025,5,0.0
leave_one_model_out,PACE,target,prior,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,-0.00647255,-0.0151069,-0.00081965,5,0.0
leave_one_model_out,TAPB,drug,uncertainty_support,delta_error_detection_auprc_vs_uncertainty,0.167284576923,0.100417999167,0.22266535,13,0.923076923077
leave_one_model_out,TAPB,drug,uncertainty_support,delta_review_error_rate_vs_uncertainty,0.121150384615,0.06682120875,0.224250555556,13,1.0
leave_one_model_out,TAPB,drug,uncertainty_support,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.122821346154,0.067415103333,0.17568928125,13,1.0
leave_one_model_out,TAPB,drug,uncertainty_support,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.030133115385,0.016781685833,0.056226027778,13,1.0
leave_one_model_out,TAPB,drug,uncertainty_support,delta_deduplicated_error_detection_auprc_vs_uncertainty,0.08809555,-0.0292388,0.2448752,5,0.6
leave_one_model_out,TAPB,drug,uncertainty_support,delta_deduplicated_review_error_rate_vs_uncertainty,0.07649695,-0.0144268,0.2035768,5,0.8
leave_one_model_out,TAPB,drug,uncertainty_support,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.05678985,-0.0049034,0.14786345,5,0.8
leave_one_model_out,TAPB,drug,uncertainty_support,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.01881595,-0.0033292,0.04987425,5,0.8
leave_one_model_out,TAPB,target,prior,delta_error_detection_auprc_vs_uncertainty,0.060399134615,-0.009175229167,0.145363605556,13,0.692307692308
leave_one_model_out,TAPB,target,prior,delta_review_error_rate_vs_uncertainty,0.050325423077,-0.011599899167,0.124098859167,13,0.692307692308
leave_one_model_out,TAPB,target,prior,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.040693153846,-0.017626394306,0.100593714583,13,0.615384615385
leave_one_model_out,TAPB,target,prior,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.012440115385,-0.00295764625,0.031061247361,13,0.692307692308
leave_one_model_out,TAPB,target,prior,delta_deduplicated_error_detection_auprc_vs_uncertainty,0.0306588,-0.15185325,0.2502477,5,0.4
leave_one_model_out,TAPB,target,prior,delta_deduplicated_review_error_rate_vs_uncertainty,0.06085955,-0.1512176,0.28663705,5,0.6
leave_one_model_out,TAPB,target,prior,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.0303271,-0.1301151,0.19951505,5,0.6
leave_one_model_out,TAPB,target,prior,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.01503945,-0.03696305,0.07048545,5,0.6
