transfer_type,held_out_domain,model,dataset,test_run,group_axis,transferred_profile,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
leave_one_model_out,DrugBAN,DrugBAN,human,seed_7,target,prior,-0.0239655,-0.0625,-0.25,-0.0166665,-0.0278085,-0.0714285,-0.25,-0.0178575
leave_one_model_out,DrugBAN,DrugBAN,human,seed_8,drug,uncertainty_support,0.200817,-0.04318175,-0.03571425,-0.01014125,0.18935025,-0.01875,-0.01785725,-0.005476
leave_one_model_out,DrugBAN,DrugBAN,human,seed_8,target,prior,-0.0817205,-0.13513975,-0.1285715,-0.0335455,-0.0922895,-0.17670475,-0.14642875,-0.044122
leave_one_model_out,PACE,PACE,bindingdb,seed_4,drug,uncertainty_support,0.20610725,0.22884625,0.21747975,0.05714725,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_4,target,prior,0.050868,0.00931375,0.010569,0.00235525,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_5,drug,uncertainty_support,0.51694625,0.1862045,0.26126125,0.0471015,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_5,target,prior,-0.0069625,-0.03473375,-0.0833335,-0.00904175,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_6,drug,uncertainty_support,0.124131,0.1125,0.166667,0.0278635,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_6,target,prior,-0.037932,0.0625,0.0833335,0.014706,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_7,drug,uncertainty_support,-0.1069805,-0.154762,-0.1052635,-0.038927,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_7,target,prior,-0.0096555,-0.0416665,-0.026316,-0.010204,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_8,drug,uncertainty_support,0.31184875,0.15059525,0.2125,0.0394225,,,,
leave_one_model_out,PACE,PACE,bindingdb,seed_8,target,prior,-0.02215275,0.02056275,0.0375,0.005528,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_4,drug,uncertainty_support,0.285457,0.23632825,0.2674835,0.05909675,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_4,target,prior,0.081258,0.064825,0.0736925,0.0162605,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_5,drug,uncertainty_support,0.279214,0.1937955,0.3815795,0.0483585,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_5,target,prior,0.16149575,0.1239695,0.247608,0.030833,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_6,drug,uncertainty_support,0.167132,0.048649,0.08618025,0.01208775,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_6,target,prior,0.046753,-0.016993,-0.03571425,-0.004216,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_7,drug,uncertainty_support,-0.01096875,0.02377225,0.05,0.00600125,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_7,target,prior,-0.05703925,-0.042015,-0.125,-0.0104745,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_8,drug,uncertainty_support,0.23186,0.16365725,0.2675,0.04067525,,,,
leave_one_model_out,PACE,PACE,biosnap,seed_8,target,prior,0.10548575,0.1483215,0.241875,0.03684125,,,,
leave_one_model_out,PACE,PACE,human,seed_4,drug,uncertainty_support,-0.192955,-0.14399525,-0.1151315,-0.03584425,-0.2530185,-0.1820515,-0.1282895,-0.0454075
leave_one_model_out,PACE,PACE,human,seed_4,target,prior,-0.02272125,-0.0166665,-0.0125,-0.00409825,-0.029909,-0.01923075,-0.0125,-0.0046295
leave_one_model_out,PACE,PACE,human,seed_5,drug,uncertainty_support,-0.11480925,0.001961,-0.0,0.000409,-0.17844875,-0.0333335,-0.025,-0.0081965
leave_one_model_out,PACE,PACE,human,seed_5,target,prior,0.01784775,-0.03137225,-0.025,-0.0076555,0.003647,-0.01666675,-0.0125,-0.00409825
leave_one_model_out,PACE,PACE,human,seed_6,drug,uncertainty_support,-0.037404,-0.066666,-0.058823,-0.016129,-0.06921,-0.153847,-0.117647,-0.037037
leave_one_model_out,PACE,PACE,human,seed_6,target,prior,-0.030528,0.0,0.0,0.0,-0.023668,0.0,0.0,0.0
leave_one_model_out,PACE,PACE,human,seed_7,drug,uncertainty_support,0.003045333333,-0.0625,-0.068452333333,-0.01441,-0.076130666667,-0.071428666667,-0.068452333333,-0.017344
leave_one_model_out,PACE,PACE,human,seed_7,target,prior,-0.062013,-0.08139875,-0.08258925,-0.02002525,-0.11675225,-0.0936355,-0.08258925,-0.023635
leave_one_model_out,PACE,PACE,human,seed_8,drug,uncertainty_support,0.0386135,0.12549,0.12549025,0.03148725,0.02859775,0.129304,0.1107845,0.03254625
leave_one_model_out,PACE,PACE,human,seed_8,target,prior,-0.037484,0.0,0.0,0.0,-0.0354245,0.0,0.0,0.0
leave_one_model_out,TAPB,TAPB,bindingdb,seed_4,drug,uncertainty_support,,,,,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_4,target,prior,,,,,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_5,drug,uncertainty_support,0.12553125,0.2215305,0.10964675,0.05509325,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_5,target,prior,0.02674525,0.0463975,0.02173925,0.01142375,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_6,drug,uncertainty_support,,,,,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_6,target,prior,,,,,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_7,drug,uncertainty_support,0.245235,0.25852075,0.18,0.063931,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_7,target,prior,0.14848325,0.1060735,0.075,0.026216,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_8,drug,uncertainty_support,0.151099,0.2050305,0.098714,0.051353,,,,
leave_one_model_out,TAPB,TAPB,bindingdb,seed_8,target,prior,0.11065025,0.09379225,0.04468925,0.02358525,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_4,drug,uncertainty_support,0.223192,0.119255,0.176852,0.02974825,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_4,target,prior,0.05442425,6.3e-05,0.0,4.8e-05,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_5,drug,uncertainty_support,0.20424025,0.08712275,0.17613675,0.02162825,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_5,target,prior,0.00132525,0.06375325,0.13068225,0.015862,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_6,drug,uncertainty_support,0.1650925,0.08756275,0.26111125,0.021593,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_6,target,prior,-0.043026,0.0,0.0,0.0,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_7,drug,uncertainty_support,0.128874,0.07360525,0.09453775,0.01853175,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_7,target,prior,0.0473,-0.019258,-0.02678575,-0.004831,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_8,drug,uncertainty_support,0.297536,0.099276,0.1416665,0.02465525,,,,
leave_one_model_out,TAPB,TAPB,biosnap,seed_8,target,prior,0.11897025,0.07488225,0.10208325,0.01858625,,,,
leave_one_model_out,TAPB,TAPB,human,seed_4,drug,uncertainty_support,-0.02775025,0.04040425,0.04166675,0.0102885,-0.068826,0.016369,0.013889,0.0046875
leave_one_model_out,TAPB,TAPB,human,seed_4,target,prior,-0.0968635,-0.1055555,-0.13888875,-0.026334,-0.17132475,-0.169643,-0.18055525,-0.041551
leave_one_model_out,TAPB,TAPB,human,seed_5,drug,uncertainty_support,0.05238625,0.0198345,0.01666625,0.00479925,0.0249965,0.00378775,0.005797,0.0012615
leave_one_model_out,TAPB,TAPB,human,seed_5,target,prior,-0.18352425,-0.18453975,-0.15434825,-0.047031,-0.18886875,-0.224026,-0.154348,-0.05470275
leave_one_model_out,TAPB,TAPB,human,seed_6,drug,uncertainty_support,0.40701475,0.25162325,0.217949,0.06229275,0.391461,0.327778,0.23717975,0.07999875
leave_one_model_out,TAPB,TAPB,human,seed_6,target,prior,0.45773275,0.36958875,0.323077,0.0919655,0.44387025,0.46805575,0.34230775,0.11510975
leave_one_model_out,TAPB,TAPB,human,seed_7,drug,uncertainty_support,0.05273475,0.02410975,0.01923075,0.00621275,-0.01676925,-0.04803925,-0.025,-0.01192825
leave_one_model_out,TAPB,TAPB,human,seed_7,target,prior,-0.0009835,0.04976775,0.0371795,0.0127075,-0.03887925,0.03125,0.019231,0.00769225
leave_one_model_out,TAPB,TAPB,human,seed_8,drug,uncertainty_support,0.149514,0.08707975,0.06249975,0.0216035,0.1096155,0.08258925,0.0520835,0.02006025
leave_one_model_out,TAPB,TAPB,human,seed_8,target,prior,0.14395475,0.1592655,0.11458325,0.03952325,0.1084965,0.198661,0.125,0.048649
