model,dataset,test_run,group_axis,split,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_deduplicated_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
PACE,human,seed_5,target,validation,-0.007239057239,-0.065568286583,,-0.806547619048,-0.028041586478
PACE,human,seed_6,drug,test,,0.028255156793,0.026653616543,0.394871794872,0.016129032258
PACE,human,seed_6,drug,validation,0.0,0.0,,0.0,0.0
PACE,human,seed_6,target,test,,-0.013405057307,-0.014066919852,-0.394871794872,-0.016129032258
PACE,human,seed_6,target,validation,,,,,
PACE,human,seed_7,drug,test,,-0.067392670109,-0.078124828804,-0.607330246914,-0.020898641588
PACE,human,seed_7,drug,validation,,,,,
PACE,human,seed_7,target,test,,-0.027803262184,-0.031551481947,-0.436078042328,-0.018864488414
PACE,human,seed_7,target,validation,0.0125,0.011538461539,,0.0,0.0
PACE,human,seed_8,drug,test,,0.164875741936,0.163404986371,-0.244907407408,-0.007774831244
PACE,human,seed_8,drug,validation,,,,,
PACE,human,seed_8,target,test,,0.000555489087,-0.003861434811,-0.294907407408,-0.008335648791
PACE,human,seed_8,target,validation,0.022619047619,-0.03713023088,,-0.8,-0.026315789474
TAPB,bindingdb,seed_4,drug,test,,,,,
TAPB,bindingdb,seed_4,drug,validation,,,,,
TAPB,bindingdb,seed_4,target,test,,,,,
TAPB,bindingdb,seed_4,target,validation,,,,,
TAPB,bindingdb,seed_5,drug,test,,0.013788623968,,0.00445966071,-0.000128775719
TAPB,bindingdb,seed_5,drug,validation,-5.2187087e-05,-0.001206155318,,-0.001157200565,-7.7733233e-05
TAPB,bindingdb,seed_5,target,test,,0.024131334221,,-0.051549145299,-0.00487012987
TAPB,bindingdb,seed_5,target,validation,-0.014385475298,-0.019041693287,,-0.048767253115,-0.003134763258
TAPB,bindingdb,seed_6,drug,test,,,,,
TAPB,bindingdb,seed_6,drug,validation,,,,,
TAPB,bindingdb,seed_6,target,test,,,,,
TAPB,bindingdb,seed_6,target,validation,,,,,
TAPB,bindingdb,seed_7,drug,test,,0.027881976595,,0.101547240947,0.003337194648
TAPB,bindingdb,seed_7,drug,validation,0.006083368818,0.007911113823,,-0.091339533422,-0.004393804721
TAPB,bindingdb,seed_7,target,test,,0.004051510401,,-0.006198686371,-0.000242812743
TAPB,bindingdb,seed_7,target,validation,-0.041892615769,-0.013208872523,,-0.200555470171,-0.009574699156
TAPB,bindingdb,seed_8,drug,test,,0.027208452943,,0.092084283062,0.007442413638
TAPB,bindingdb,seed_8,drug,validation,3.5232479e-05,0.001268911084,,0.02066189574,0.001950480386
TAPB,bindingdb,seed_8,target,test,,0.051363960023,,0.194446104889,0.01621024443
TAPB,bindingdb,seed_8,target,validation,-0.029368255062,-0.039867042443,,-0.154776206795,-0.014344635896
TAPB,biosnap,seed_4,drug,test,,0.051366882642,,0.565787017775,0.013976120478
TAPB,biosnap,seed_4,drug,validation,0.057610190775,0.0560996554,,0.352876589895,0.008752176785
TAPB,biosnap,seed_4,target,test,,0.079512908223,,0.445471736819,0.010684658852
TAPB,biosnap,seed_4,target,validation,0.08228927396,0.071048104976,,1.005976009215,0.023567387758
TAPB,biosnap,seed_5,drug,test,,0.054756342919,,0.208333333333,0.00390625
TAPB,biosnap,seed_5,drug,validation,0.156817951318,0.169367654837,,0.966683031021,0.017500010322
TAPB,biosnap,seed_5,target,test,,0.051086743601,,0.386904761905,0.007378472222
TAPB,biosnap,seed_5,target,validation,0.091307258676,0.048321470629,,0.235855393008,0.004554193608
TAPB,biosnap,seed_6,drug,test,,0.002807660103,,0.0,0.0
TAPB,biosnap,seed_6,drug,validation,0.096473886506,0.074827486792,,0.756626621966,0.009897285047
TAPB,biosnap,seed_6,target,test,,0.030771344992,,-0.254761904762,-0.002906976744
TAPB,biosnap,seed_6,target,validation,0.080796523482,0.053318365481,,0.102753266634,0.001469567317
TAPB,biosnap,seed_7,drug,test,,0.047021994344,,0.173878205128,0.003349014337
TAPB,biosnap,seed_7,drug,validation,0.029093930148,0.025898763626,,0.010415319662,-7.5567428e-05
TAPB,biosnap,seed_7,target,test,,0.032222896068,,0.2660499223,0.006206157194
TAPB,biosnap,seed_7,target,validation,0.062097867111,0.050429219721,,0.283966586788,0.009558821006
TAPB,biosnap,seed_8,drug,test,,0.002279972493,,-0.05946969697,-0.000759808436
TAPB,biosnap,seed_8,drug,validation,0.106706955976,0.102500218845,,0.477851130049,0.009162998348
TAPB,biosnap,seed_8,target,test,,-0.036120832831,,0.0125,0.000308988764
TAPB,biosnap,seed_8,target,validation,0.110280077232,0.051528396684,,-0.007887130088,0.001799558171
TAPB,human,seed_4,drug,test,,-0.015729354141,-0.016467093616,-0.127182539683,-0.005335317835
TAPB,human,seed_4,drug,validation,,,,,
TAPB,human,seed_4,target,test,,0.000844319317,-0.006966433281,0.204166666667,0.00641025641
TAPB,human,seed_4,target,validation,-0.0625,0.033521135727,,0.0,0.0
TAPB,human,seed_5,drug,test,,0.017157802311,0.017265076078,-0.179912053057,-0.007960034048
TAPB,human,seed_5,drug,validation,0.0,0.0,,0.0,0.0
TAPB,human,seed_5,target,test,,0.054987721173,0.054135582788,0.17824538639,0.008033090739
TAPB,human,seed_5,target,validation,-0.333333333333,0.0,,0.0,0.0
TAPB,human,seed_6,drug,test,,-0.000119910479,-0.000506109956,0.0,0.0
TAPB,human,seed_6,drug,validation,0.0,-0.025,,0.0,0.0
TAPB,human,seed_6,target,test,,-0.003111249151,-0.00634639758,-0.127083333333,-0.005102040816
TAPB,human,seed_6,target,validation,-0.154320987654,-0.05328051306,,-0.539682539683,-0.012345679012
TAPB,human,seed_7,drug,test,,0.003723644157,-0.003057685176,-0.115205627706,-0.00649460189
TAPB,human,seed_7,drug,validation,-0.153174603174,0.000853829476,,-1.207175925926,-0.035795153442
TAPB,human,seed_7,target,test,,0.000460384723,-0.005126486458,-0.23189616263,-0.013064773012
TAPB,human,seed_7,target,validation,0.023178652894,-0.075305173642,,-0.4,-0.017543859649
TAPB,human,seed_8,drug,test,,-0.007491099713,-0.009269282525,0.021244868084,0.000467775468
TAPB,human,seed_8,drug,validation,-0.037321937322,-0.031667887827,,-0.854166666667,-0.030303030303
TAPB,human,seed_8,target,test,,0.007764714393,0.007234108165,-0.248768433765,-0.014332514332
TAPB,human,seed_8,target,validation,0.102380952381,0.121074646075,,0.0,0.0
