model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.2,test,fitted,0,0.0,0,0.0,0,0.0,False
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.2,validation,cross_fitted,13,6.0,3,0.0,10,6.0,True
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.2,test,fitted,0,0.0,0,0.0,0,0.0,False
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.1,0.2,validation,cross_fitted,61,17.0,6,1.0,55,16.0,True
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.1,0.2,test,fitted,17,4.0,2,2.0,15,2.0,True
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.2,0.2,validation,cross_fitted,61,17.0,12,4.0,49,13.0,True
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.2,0.2,test,fitted,17,4.0,3,2.0,14,2.0,True
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,0.2,validation,cross_fitted,13,6.0,1,0.0,12,6.0,True
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,0.2,test,fitted,0,0.0,0,0.0,0,0.0,False
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,0.2,validation,cross_fitted,13,6.0,3,0.0,10,6.0,True
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,0.2,test,fitted,0,0.0,0,0.0,0,0.0,False
