model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
DrugBAN,biosnap,seed_7,drug,base,0.9,0.1,0.2,test,fitted,136,37.0,14,4.0,122,33.0,True
DrugBAN,biosnap,seed_7,drug,base,0.9,0.2,0.2,validation,cross_fitted,587,149.0,117,43.0,470,106.0,True
DrugBAN,biosnap,seed_7,drug,base,0.9,0.2,0.2,test,fitted,136,37.0,27,8.0,109,29.0,True
DrugBAN,biosnap,seed_8,target,base,0.8,0.1,0.2,validation,cross_fitted,802,151.0,80,27.0,722,124.0,True
DrugBAN,biosnap,seed_8,target,base,0.8,0.1,0.2,test,fitted,193,34.0,19,6.0,174,28.0,True
DrugBAN,biosnap,seed_8,target,base,0.8,0.2,0.2,validation,cross_fitted,802,151.0,160,49.0,642,102.0,True
DrugBAN,biosnap,seed_8,target,base,0.8,0.2,0.2,test,fitted,193,34.0,39,12.0,154,22.0,True
DrugBAN,biosnap,seed_8,target,base,0.9,0.1,0.2,validation,cross_fitted,702,116.0,70,19.0,632,97.0,True
DrugBAN,biosnap,seed_8,target,base,0.9,0.1,0.2,test,fitted,173,28.0,17,6.0,156,22.0,True
DrugBAN,biosnap,seed_8,target,base,0.9,0.2,0.2,validation,cross_fitted,702,116.0,140,45.0,562,71.0,True
DrugBAN,biosnap,seed_8,target,base,0.9,0.2,0.2,test,fitted,173,28.0,35,11.0,138,17.0,True
DrugBAN,biosnap,seed_8,drug,base,0.8,0.1,0.2,validation,cross_fitted,802,151.0,80,27.0,722,124.0,True
DrugBAN,biosnap,seed_8,drug,base,0.8,0.1,0.2,test,fitted,193,34.0,19,6.0,174,28.0,True
DrugBAN,biosnap,seed_8,drug,base,0.8,0.2,0.2,validation,cross_fitted,802,151.0,160,54.0,642,97.0,True
DrugBAN,biosnap,seed_8,drug,base,0.8,0.2,0.2,test,fitted,193,34.0,39,12.0,154,22.0,True
DrugBAN,biosnap,seed_8,drug,base,0.9,0.1,0.2,validation,cross_fitted,702,116.0,70,22.0,632,94.0,True
DrugBAN,biosnap,seed_8,drug,base,0.9,0.1,0.2,test,fitted,173,28.0,17,6.0,156,22.0,True
DrugBAN,biosnap,seed_8,drug,base,0.9,0.2,0.2,validation,cross_fitted,702,116.0,140,46.0,562,70.0,True
DrugBAN,biosnap,seed_8,drug,base,0.9,0.2,0.2,test,fitted,173,28.0,35,11.0,138,17.0,True
