model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes,residual_error_warning,residual_error_warning_reason
PACE,biosnap,seed_8,target,base,0.8,0.1,0.2,test,fitted,200,25.0,20,5.0,180,20.0,True,False,
PACE,biosnap,seed_8,target,base,0.8,0.2,0.2,validation,cross_fitted,820,102.0,164,37.0,656,65.0,True,False,
PACE,biosnap,seed_8,target,base,0.8,0.2,0.2,test,fitted,200,25.0,40,12.0,160,13.0,True,False,
PACE,biosnap,seed_8,target,base,0.9,0.1,0.2,validation,cross_fitted,682,70.0,68,16.0,614,54.0,True,False,
PACE,biosnap,seed_8,target,base,0.9,0.1,0.2,test,fitted,169,16.0,17,5.0,152,11.0,True,False,
PACE,biosnap,seed_8,target,base,0.9,0.2,0.2,validation,cross_fitted,682,70.0,136,34.0,546,36.0,True,False,
PACE,biosnap,seed_8,target,base,0.9,0.2,0.2,test,fitted,169,16.0,34,6.0,135,10.0,True,False,
PACE,biosnap,seed_8,drug,base,0.8,0.1,0.2,validation,cross_fitted,820,102.0,82,24.0,738,78.0,True,False,
PACE,biosnap,seed_8,drug,base,0.8,0.1,0.2,test,fitted,200,25.0,20,5.0,180,20.0,True,False,
PACE,biosnap,seed_8,drug,base,0.8,0.2,0.2,validation,cross_fitted,820,102.0,164,38.0,656,64.0,True,False,
PACE,biosnap,seed_8,drug,base,0.8,0.2,0.2,test,fitted,200,25.0,40,12.0,160,13.0,True,False,
PACE,biosnap,seed_8,drug,base,0.9,0.1,0.2,validation,cross_fitted,682,70.0,68,16.0,614,54.0,True,False,
PACE,biosnap,seed_8,drug,base,0.9,0.1,0.2,test,fitted,169,16.0,17,5.0,152,11.0,True,False,
PACE,biosnap,seed_8,drug,base,0.9,0.2,0.2,validation,cross_fitted,682,70.0,136,35.0,546,35.0,True,False,
PACE,biosnap,seed_8,drug,base,0.9,0.2,0.2,test,fitted,169,16.0,34,6.0,135,10.0,True,False,
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,916,180.0,92,20.0,824,160.0,True,False,
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,fitted,215,41.0,22,5.0,193,36.0,True,False,
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,916,180.0,183,40.0,733,140.0,True,False,
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,fitted,215,41.0,43,10.0,172,31.0,True,False,
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,424,60.0,42,1.0,382,59.0,True,False,
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,fitted,94,15.0,9,2.0,85,13.0,True,False,
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,424,60.0,85,6.0,339,54.0,True,False,
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,fitted,94,15.0,19,5.0,75,10.0,True,False,
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,916,180.0,92,36.0,824,144.0,True,False,
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,fitted,215,41.0,22,5.0,193,36.0,True,False,
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,916,180.0,183,60.0,733,120.0,True,False,
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,fitted,215,41.0,43,10.0,172,31.0,True,False,
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,424,60.0,42,7.0,382,53.0,True,False,
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,fitted,94,15.0,9,2.0,85,13.0,True,False,
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,424,60.0,85,16.0,339,44.0,True,False,
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,fitted,94,15.0,19,5.0,75,10.0,True,False,
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,736,141.0,74,15.0,662,126.0,True,False,
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,fitted,187,37.0,19,2.0,168,35.0,True,False,
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,736,141.0,147,28.0,589,113.0,True,False,
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,fitted,187,37.0,37,4.0,150,33.0,True,False,
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,validation,cross_fitted,165,21.0,16,0.0,149,21.0,True,False,
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,test,fitted,38,3.0,4,1.0,34,2.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,validation,cross_fitted,165,21.0,33,1.0,132,20.0,True,False,
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,test,fitted,38,3.0,8,2.0,30,1.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_5,drug,base,0.8,0.1,0.2,validation,cross_fitted,736,141.0,74,20.0,662,121.0,True,False,
PACE,bindingdb,seed_5,drug,base,0.8,0.1,0.2,test,fitted,187,37.0,19,2.0,168,35.0,True,False,
PACE,bindingdb,seed_5,drug,base,0.8,0.2,0.2,validation,cross_fitted,736,141.0,147,40.0,589,101.0,True,False,
PACE,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,fitted,187,37.0,37,4.0,150,33.0,True,False,
PACE,bindingdb,seed_5,drug,base,0.9,0.1,0.2,validation,cross_fitted,165,21.0,16,4.0,149,17.0,True,False,
PACE,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,fitted,38,3.0,4,1.0,34,2.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_5,drug,base,0.9,0.2,0.2,validation,cross_fitted,165,21.0,33,8.0,132,13.0,True,False,
PACE,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,fitted,38,3.0,8,2.0,30,1.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,validation,cross_fitted,227,31.0,23,3.0,204,28.0,True,False,
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,test,fitted,53,6.0,5,0.0,48,6.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,validation,cross_fitted,227,31.0,45,5.0,182,26.0,True,False,
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,test,fitted,53,6.0,11,2.0,42,4.0,True,True,residual_error_count_lt_10
