scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auprc,112,112,120,8,0.294643,0.437307,0.407154,0.030153,0.030153,-0.043086,0.242456,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auroc,112,112,120,8,0.25,0.794058,0.786343,0.007715,0.007715,-0.046388,0.155422,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_lift,112,112,120,8,0.196429,2.851752,2.733627,0.118125,0.118125,-0.453031,1.504458,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_recall_of_residual_errors,112,112,120,8,0.1875,0.571554,0.54821,0.023344,0.023344,-0.092229,0.301731,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,112,112,120,8,0.232143,0.050605,0.047929,0.002676,0.002676,-0.015111,0.034307,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auprc,104,104,120,16,0.25,0.418969,0.370651,0.048319,0.048319,-0.002777,0.312759,,,TAPB
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auroc,104,104,120,16,0.25,0.727052,0.689266,0.037786,0.037786,-0.00149,0.244241,,,TAPB
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_lift,104,104,120,16,0.25,2.345999,2.051022,0.294977,0.294977,-0.029211,2.102159,,,TAPB
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_recall_of_residual_errors,104,104,120,16,0.25,0.468411,0.409675,0.058736,0.058736,-0.005903,0.418182,,,TAPB
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,104,104,120,16,0.25,0.048572,0.041123,0.007449,0.007449,-0.00276,0.049397,,,TAPB
