model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selector_name,selected_v2_profile,validation_metric,validation_gain_vs_U,validation_gain_U_E_E2_vs_U_E,selection_reason,fallback_reason,validation_gain_U_P_E_E2_vs_best_formal,formal_selected_validation_metric,u_p_e_validation_metric,u_p_e_e2_validation_metric
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,0.116895,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.136491,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.136491,0.10491,
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.472745,0.249586,0.065888,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.469587,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.06273,0.406857,0.402333,0.469587
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.53184,0.345348,0.092354,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.527699,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.083197,0.439486,0.444502,0.527699
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.474866,0.29992,0.047644,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.446874,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.019652,0.427222,0.381282,0.446874
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.486525,0.371671,0.129703,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.463837,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.107015,0.356822,0.340627,0.463837
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U,0.177016,0.0,0.00842,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.237401,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.091935,0.237401,0.145375,0.145466
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E,0.32426,0.125776,-0.16069,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.262668,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.123327,0.262668,0.30451,0.181183
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.707816,0.588555,-0.467416,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.707816,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.415803,0.707816,0.711065,0.295262
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E,0.318948,0.179587,,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.274093,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.274093,0.232457,
PACE,bindingdb,seed_5,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.485038,0.252798,0.040206,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_5,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.476084,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.031252,0.444832,0.439883,0.476084
PACE,bindingdb,seed_5,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E,0.471038,0.241756,-0.003642,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_5,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.471038,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.01357,0.471038,0.46449,0.457468
PACE,bindingdb,seed_5,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.765733,0.526571,0.038038,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_5,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.754515,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.02682,0.727695,0.689225,0.754515
PACE,bindingdb,seed_5,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.770493,0.517917,0.237192,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_5,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.724759,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.191458,0.533301,0.52676,0.724759
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.287886,0.163588,0.006838,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.281048,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.001348,0.281048,0.231273,0.2797
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.268812,0.139995,0.154445,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.224753,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.082916,0.141837,0.105653,0.224753
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U,0.076923,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.2,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.2,,
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,0.1,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.5,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.5,,
PACE,bindingdb,seed_6,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.451083,0.224241,0.082251,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_6,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.452649,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.083817,0.368832,0.333751,0.452649
PACE,bindingdb,seed_6,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.433391,0.267035,0.067563,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_6,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.426705,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.060502,0.365828,0.366203,0.426705
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U,0.066667,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.047619,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.047619,,
