group_axis,review_fraction,method,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
target,0.05,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.126364083076,-0.02333692719,0.253342931949,41,0.682926829268
target,0.05,fixed_hgb_upe,delta_review_error_rate_vs_pause,0.124516652425,-0.038891281035,0.315467506072,40,0.675
target,0.05,fixed_hgb_upe,delta_combined_recall_of_candidate_errors_vs_pause,0.040847291803,-0.002452963657,0.084531790087,40,0.675
target,0.05,fixed_hgb_upe,delta_retained_accuracy_gain_vs_residual_vs_pause,0.006700320086,-0.001808280504,0.016623784799,40,0.675
target,0.05,native_density,delta_error_detection_auprc_vs_pause,-0.106360049785,-0.184782751773,-0.007895282331,43,0.093023255814
target,0.05,native_density,delta_review_error_rate_vs_pause,-0.113827266484,-0.187879806536,-0.013134614999,40,0.225
target,0.05,native_density,delta_combined_recall_of_candidate_errors_vs_pause,-0.036475279622,-0.064568647162,-0.005750226891,40,0.25
target,0.05,native_density,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.005869215318,-0.009691447375,-0.000647846549,40,0.25
target,0.05,native_max_shift,delta_error_detection_auprc_vs_pause,-0.110631106974,-0.184415613572,-0.017919385603,43,0.116279069767
target,0.05,native_max_shift,delta_review_error_rate_vs_pause,-0.116725690976,-0.191159193815,-0.006446249738,40,0.225
target,0.05,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.037093504877,-0.063088987433,-0.005907653635,40,0.25
target,0.05,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.006023297739,-0.00983242304,-0.000370359921,40,0.25
target,0.05,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.039332484303,-0.075748291029,-0.009016323236,43,0.209302325581
target,0.05,raw_uncertainty,delta_review_error_rate_vs_pause,-0.072192442974,-0.119166260823,-0.028656164823,40,0.125
target,0.05,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.021031673463,-0.038132784283,-0.006341296763,40,0.15
target,0.05,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.003834227895,-0.006355203687,-0.001489426867,40,0.15
target,0.1,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.126364083076,-0.02333692719,0.253342931949,41,0.682926829268
target,0.1,fixed_hgb_upe,delta_review_error_rate_vs_pause,0.123002038166,-0.026018976107,0.277069551478,40,0.7
target,0.1,fixed_hgb_upe,delta_combined_recall_of_candidate_errors_vs_pause,0.066251324436,-0.016581011625,0.136306456957,40,0.725
target,0.1,fixed_hgb_upe,delta_retained_accuracy_gain_vs_residual_vs_pause,0.013765631976,-0.00288790555,0.030765740536,40,0.725
target,0.1,native_density,delta_error_detection_auprc_vs_pause,-0.106360049785,-0.184782751773,-0.007895282331,43,0.093023255814
target,0.1,native_density,delta_review_error_rate_vs_pause,-0.137668850543,-0.195699083881,-0.062723904109,40,0.175
target,0.1,native_density,delta_combined_recall_of_candidate_errors_vs_pause,-0.077909036258,-0.122907335902,-0.02945054477,40,0.175
target,0.1,native_density,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.015265452399,-0.021730249515,-0.006890026392,40,0.175
target,0.1,native_max_shift,delta_error_detection_auprc_vs_pause,-0.110631106974,-0.184415613572,-0.017919385603,43,0.116279069767
target,0.1,native_max_shift,delta_review_error_rate_vs_pause,-0.143376307572,-0.199224405368,-0.074527872505,40,0.175
target,0.1,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.082837546112,-0.127717480198,-0.037681243548,40,0.175
target,0.1,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.015874881036,-0.022126483834,-0.008007917195,40,0.175
target,0.1,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.039332484303,-0.075748291029,-0.009016323236,43,0.209302325581
target,0.1,raw_uncertainty,delta_review_error_rate_vs_pause,-0.036097910532,-0.074360836179,-0.002291774146,40,0.175
target,0.1,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.021093293407,-0.042353680249,-0.001996992672,40,0.175
target,0.1,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.003912813103,-0.008153432193,-0.000205016111,40,0.175
target,0.2,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.126364083076,-0.02333692719,0.253342931949,41,0.682926829268
target,0.2,fixed_hgb_upe,delta_review_error_rate_vs_pause,0.078968585876,-0.031479631674,0.19409452286,40,0.7
target,0.2,fixed_hgb_upe,delta_combined_recall_of_candidate_errors_vs_pause,0.076371216694,-0.029701009701,0.17127849772,40,0.675
