model,dataset,test_run,group_axis,review_fraction,delta_error_detection_auroc_vs_uncertainty,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_review_lift_vs_uncertainty,delta_review_recall_of_residual_errors_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_after_review_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_error_detection_auroc_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_deduplicated_review_lift_vs_uncertainty,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,biosnap,seed_5,drug,0.1,0.207457247856,0.344920535137,0.3592760181,1.893518360691,0.191381725104,0.146150914634,0.04042285658,0.04042285658,,,,,,,,
DrugBAN,biosnap,seed_5,drug,0.2,0.207457247856,0.344920535137,0.268274254481,1.425091246098,0.283637592968,0.217416158536,0.066632729538,0.066632729538,,,,,,,,
DrugBAN,biosnap,seed_5,drug,0.3,0.207457247856,0.344920535137,0.186181041181,0.997249743158,0.299345600309,0.228658536586,0.079857036168,0.079857036168,,,,,,,,
DrugBAN,biosnap,seed_5,target,0.05,0.04451306977,0.060080300763,0.272321428571,1.373039517531,0.065162271805,0.052210365854,0.013570099844,0.013570099844,,,,,,,,
DrugBAN,biosnap,seed_5,target,0.1,0.04451306977,0.060080300763,0.027450980392,0.133362168396,0.013438133874,0.008765243902,0.003077792854,0.003077792854,,,,,,,,
DrugBAN,biosnap,seed_5,target,0.2,0.04451306977,0.060080300763,-0.001802507837,-0.012093393189,-0.002535496957,-0.001714939024,-0.00048814112,-0.00048814112,,,,,,,,
DrugBAN,biosnap,seed_5,target,0.3,0.04451306977,0.060080300763,0.022474747475,0.114690003483,0.03448275862,0.027820121951,0.00966206124,0.00966206124,,,,,,,,
DrugBAN,biosnap,seed_6,drug,0.05,0.176352083657,0.219547095426,0.292162698413,1.715266504329,0.085013077201,0.063311688312,0.015214779468,0.015214779468,,,,,,,,
DrugBAN,biosnap,seed_6,drug,0.1,0.176352083657,0.219547095426,0.353134674923,2.01548301737,0.202933351371,0.154761904762,0.039553350813,0.039553350813,,,,,,,,
DrugBAN,biosnap,seed_6,drug,0.2,0.176352083657,0.219547095426,0.247247328473,1.396452590529,0.279074224387,0.218073593074,0.061771004446,0.061771004446,,,,,,,,
DrugBAN,biosnap,seed_6,drug,0.3,0.176352083657,0.219547095426,0.191199008159,1.055935692714,0.316242784993,0.250541125541,0.081739436915,0.081739436915,,,,,,,,
DrugBAN,biosnap,seed_6,target,0.05,0.04190888924,0.058139086661,0.040178571428,0.290482954546,0.014914772727,0.009199134199,0.002196898496,0.002196898496,,,,,,,,
